"",BBK01.OECB18P,BBK01.OECB18P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:18,
2002-01,0.054,
2002-04,0.050,
2002-07,0.056,
2002-10,0.055,
2003-01,0.047,
2003-04,0.045,
2003-07,0.041,
2003-10,0.043,
2004-01,0.039,
2004-04,0.038,
2004-07,0.037,
2004-10,0.037,
2005-01,0.042,
2005-04,0.041,
2005-07,0.043,
2005-10,0.040,
2006-01,0.036,
2006-04,0.035,
2006-07,0.035,
2006-10,0.030,
2007-01,0.034,
2007-04,0.031,
2007-07,0.027,
2007-10,0.038,
2008-01,0.030,
2008-04,0.027,
2008-07,0.028,
2008-10,0.027,
2009-01,0.024,
2009-04,0.025,
2009-07,0.026,
2009-10,0.024,
2010-01,0.027,
2010-04,0.025,
2010-07,0.026,
2010-10,0.023,
2011-01,0.027,
2011-04,0.026,
2011-07,0.023,
2011-10,0.021,
2012-01,0.022,
2012-04,0.021,
2012-07,0.020,
2012-10,0.020,
2013-01,0.020,
2013-04,0.019,
2013-07,0.018,
2013-10,0.018,
2014-01,0.017,
2014-04,0.018,
2014-07,0.018,
