"",BBK01.OEAH87H,BBK01.OEAH87H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:15,
2002-01,26.426,
2002-04,22.849,
2002-07,23.715,
2002-10,23.640,
2003-01,24.152,
2003-04,22.951,
2003-07,22.282,
2003-10,22.548,
2004-01,22.108,
2004-04,22.422,
2004-07,22.130,
2004-10,24.146,
2005-01,21.082,
2005-04,21.896,
2005-07,23.091,
2005-10,23.761,
2006-01,22.722,
2006-04,21.151,
2006-07,22.071,
2006-10,22.171,
2007-01,24.688,
2007-04,23.325,
2007-07,24.907,
2007-10,25.345,
2008-01,22.297,
2008-04,21.371,
2008-07,20.935,
2008-10,17.947,
2009-01,16.846,
2009-04,12.100,
2009-07,13.917,
2009-10,13.110,
2010-01,16.938,
2010-04,18.118,
2010-07,16.979,
2010-10,12.300,
2011-01,12.692,
2011-04,13.108,
2011-07,18.227,
2011-10,16.430,
2012-01,14.101,
2012-04,16.580,
2012-07,14.613,
2012-10,14.038,
2013-01,12.965,
2013-04,13.200,
2013-07,13.534,
2013-10,15.588,
2014-01,14.674,
2014-04,13.684,
2014-07,13.810,
