"",BBK01.OEAF06G,BBK01.OEAF06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:43,
2002-01,11.949,
2002-04,13.124,
2002-07,13.312,
2002-10,13.494,
2003-01,13.531,
2003-04,12.879,
2003-07,16.932,
2003-10,17.414,
2004-01,17.240,
2004-04,16.938,
2004-07,17.552,
2004-10,17.613,
2005-01,17.927,
2005-04,17.932,
2005-07,18.194,
2005-10,17.841,
2006-01,17.683,
2006-04,17.931,
2006-07,17.618,
2006-10,16.738,
2007-01,16.476,
2007-04,15.947,
2007-07,15.883,
2007-10,15.553,
2008-01,15.325,
2008-04,15.573,
2008-07,15.419,
2008-10,15.746,
2009-01,16.155,
2009-04,16.431,
2009-07,16.568,
2009-10,16.457,
2010-01,16.141,
2010-04,15.928,
2010-07,19.282,
2010-10,19.117,
2011-01,18.982,
2011-04,15.583,
2011-07,15.533,
2011-10,15.386,
2012-01,15.260,
2012-04,15.280,
2012-07,15.320,
2012-10,14.769,
2013-01,14.562,
2013-04,14.573,
2013-07,14.767,
2013-10,14.781,
2014-01,14.846,
2014-04,14.909,
2014-07,15.009,
