"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U2.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U2.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Euro area (changing composition) / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:07,
2009-09,145455,
2009-10,143130,
2009-11,146188,
2009-12,144629,
2010-01,146354,
2010-02,146119,
2010-03,146537,
2010-04,144297,
2010-05,144766,
2010-06,145299,
2010-07,145668,
2010-08,148094,
2010-09,147039,
2010-10,146549,
2010-11,144517,
2010-12,143023,
2011-01,141528,
2011-02,143284,
2011-03,144814,
2011-04,144090,
2011-05,144926,
2011-06,144135,
2011-07,144817,
2011-08,145192,
2011-09,143227,
2011-10,142722,
2011-11,140806,
2011-12,142918,
2012-01,145475,
2012-02,148107,
2012-03,149204,
2012-04,149140,
2012-05,148626,
2012-06,147294,
2012-07,149953,
2012-08,151223,
2012-09,151251,
2012-10,150906,
2012-11,149939,
2012-12,150113,
2013-01,148639,
2013-02,148796,
2013-03,148434,
2013-04,149748,
2013-05,149423,
2013-06,146924,
2013-07,145860,
2013-08,145855,
2013-09,145375,
2013-10,145644,
2013-11,144945,
2013-12,143612,
2014-01,145883,
2014-02,145025,
2014-03,145685,
2014-04,145354,
2014-05,146711,
2014-06,146694,
2014-07,147587,
2014-08,148713,
2014-09,149364,
2014-10,150864,
2014-11,149075,
