"",BBK01.OEAH66L,BBK01.OEAH66L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:26,
2002-01,5.411,
2002-04,5.486,
2002-07,5.537,
2002-10,5.589,
2003-01,5.305,
2003-04,5.205,
2003-07,5.110,
2003-10,5.244,
2004-01,5.406,
2004-04,5.716,
2004-07,5.712,
2004-10,5.644,
2005-01,5.424,
2005-04,5.212,
2005-07,5.036,
2005-10,4.961,
2006-01,4.836,
2006-04,4.755,
2006-07,4.769,
2006-10,4.729,
2007-01,4.546,
2007-04,4.424,
2007-07,4.410,
2007-10,4.199,
2008-01,3.919,
2008-04,3.782,
2008-07,3.925,
2008-10,3.850,
2009-01,3.135,
2009-04,3.121,
2009-07,3.393,
2009-10,3.903,
2010-01,4.207,
2010-04,4.390,
2010-07,4.461,
2010-10,4.552,
2011-01,4.663,
2011-04,4.976,
2011-07,5.059,
2011-10,5.135,
2012-01,5.182,
2012-04,5.167,
2012-07,5.136,
2012-10,5.175,
2013-01,4.956,
2013-04,4.809,
2013-07,4.708,
2013-10,4.763,
2014-01,4.739,
2014-04,4.743,
2014-07,4.817,
