"",BBK01.OEAK01K,BBK01.OEAK01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:06,
2002-01,4.021,
2002-04,4.169,
2002-07,4.444,
2002-10,4.774,
2003-01,4.680,
2003-04,4.562,
2003-07,4.623,
2003-10,4.346,
2004-01,4.230,
2004-04,4.447,
2004-07,4.723,
2004-10,4.341,
2005-01,4.399,
2005-04,4.465,
2005-07,4.475,
2005-10,4.476,
2006-01,4.393,
2006-04,4.492,
2006-07,4.571,
2006-10,4.680,
2007-01,4.754,
2007-04,5.004,
2007-07,5.160,
2007-10,5.884,
2008-01,5.364,
2008-04,5.374,
2008-07,5.489,
2008-10,5.640,
2009-01,5.851,
2009-04,6.375,
2009-07,6.361,
2009-10,6.407,
2010-01,6.499,
2010-04,6.634,
2010-07,6.678,
2010-10,7.042,
2011-01,6.920,
2011-04,7.330,
2011-07,6.958,
2011-10,7.199,
2012-01,7.257,
2012-04,7.471,
2012-07,7.323,
2012-10,7.367,
2013-01,7.567,
2013-04,7.783,
2013-07,8.286,
2013-10,8.582,
2014-01,8.770,
2014-04,8.911,
2014-07,8.851,
