"",BBK01.OEBI01R,BBK01.OEBI01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:15,
2002-01,3.096,
2002-04,3.017,
2002-07,3.040,
2002-10,3.200,
2003-01,2.903,
2003-04,2.934,
2003-07,2.927,
2003-10,3.037,
2004-01,2.856,
2004-04,2.871,
2004-07,2.921,
2004-10,3.086,
2005-01,3.758,
2005-04,3.677,
2005-07,3.797,
2005-10,3.983,
2006-01,3.868,
2006-04,3.938,
2006-07,3.993,
2006-10,4.187,
2007-01,4.225,
2007-04,4.416,
2007-07,4.579,
2007-10,4.613,
2008-01,4.800,
2008-04,4.840,
2008-07,4.985,
2008-10,5.349,
2009-01,5.385,
2009-04,5.432,
2009-07,5.674,
2009-10,6.030,
2010-01,5.783,
2010-04,5.947,
2010-07,6.083,
2010-10,6.215,
2011-01,6.141,
2011-04,6.201,
2011-07,6.362,
2011-10,6.508,
2012-01,6.542,
2012-04,6.700,
2012-07,7.062,
2012-10,7.160,
2013-01,7.255,
2013-04,7.102,
2013-07,7.316,
2013-10,7.211,
2014-01,7.261,
2014-04,7.372,
2014-07,7.564,
