"",BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:49,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-3.082,
1993-04,-2.427,
1993-07,-2.593,
1993-10,-2.082,
1994-01,0.610,
1994-04,0.310,
1994-07,1.102,
1994-10,20.125,
1995-01,0.406,
1995-04,-0.799,
1995-07,-1.108,
1995-10,0.350,
1996-01,9.516,
1996-04,1.071,
1996-07,-5.929,
1996-10,21.542,
1997-01,-7.729,
1997-04,51.623,
1997-07,5.121,
1997-10,22.779,
1998-01,27.881,
1998-04,-27.640,
1998-07,36.091,
1998-10,5.016,
1999-01,4.681,
1999-04,57.492,
1999-07,-39.781,
1999-10,11.736,
2000-01,51.042,
2000-04,12.759,
2000-07,31.285,
2000-10,51.297,
2001-01,74.305,
2001-04,27.019,
2001-07,27.034,
2001-10,8.111,
2002-01,-34.033,
2002-04,154.743,
2002-07,-22.168,
2002-10,-30.994,
2003-01,584.283,
2003-04,38.975,
2003-07,-227.863,
2003-10,334.412,
2004-01,355.451,
2004-04,14.407,
2004-07,-186.738,
2004-10,410.086,
2005-01,353.008,
2005-04,-461.022,
2005-07,272.738,
2005-10,188.027,
2006-01,714.065,
2006-04,-273.879,
2006-07,677.337,
2006-10,311.218,
2007-01,801.318,
2007-04,-360.815,
2007-07,432.948,
2007-10,-229.835,
2008-01,-387.609,
2008-04,-502.790,
2008-07,-268.238,
2008-10,568.220,
2009-01,-811.662,
2009-04,29.602,
2009-07,367.942,
2009-10,272.270,
2010-01,257.255,
2010-04,-958.933,
2010-07,639.862,
2010-10,396.387,
2011-01,752.784,
2011-04,-599.226,
2011-07,-329.176,
2011-10,-360.056,
2012-01,52.795,
2012-04,1677.604,
2012-07,-239.716,
2012-10,-667.554,
2013-01,2192.400,
2013-04,-487.992,
2013-07,1435.776,
2013-10,595.208,
2014-01,50.468,Provisional value
2014-04,-2062.849,Provisional value
2014-07,83.806,Provisional value
2014-10,123.167,Provisional value
