"",BBK01.OEAL07Q,BBK01.OEAL07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:37,
2002-01,14.358,
2002-04,14.087,
2002-07,14.081,
2002-10,14.379,
2003-01,14.366,
2003-04,14.248,
2003-07,14.279,
2003-10,14.346,
2004-01,14.175,
2004-04,13.876,
2004-07,13.872,
2004-10,13.997,
2005-01,15.609,
2005-04,15.458,
2005-07,15.237,
2005-10,15.303,
2006-01,15.220,
2006-04,15.030,
2006-07,14.781,
2006-10,14.673,
2007-01,14.553,
2007-04,14.369,
2007-07,14.178,
2007-10,14.357,
2008-01,14.230,
2008-04,14.138,
2008-07,13.972,
2008-10,14.652,
2009-01,15.008,
2009-04,15.250,
2009-07,15.522,
2009-10,15.751,
2010-01,15.942,
2010-04,15.998,
2010-07,16.117,
2010-10,16.453,
2011-01,16.604,
2011-04,16.478,
2011-07,16.406,
2011-10,16.649,
2012-01,16.885,
2012-04,16.844,
2012-07,16.807,
2012-10,16.896,
2013-01,16.742,
2013-04,16.668,
2013-07,16.532,
2013-10,16.606,
2014-01,16.583,
2014-04,16.434,
2014-07,16.468,
