"",BBFB1.M.N.DE.W1.S1KK.S1.T.LI.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1KK.S1.T.LI.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Public issuers / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:20,
1991-01,197.989,
1991-02,313.606,
1991-03,3.100,
1991-04,33.411,
1991-05,13.689,
1991-06,15.159,
1991-07,923.538,
1991-08,433.046,
1991-09,152.131,
1991-10,13.593,
1991-11,83.202,
1991-12,99.699,
1992-01,66.013,
1992-02,41.744,
1992-03,52.307,
1992-04,180.926,
1992-05,35.709,
1992-06,129.026,
1992-07,270.391,
1992-08,-277.466,
1992-09,66.504,
1992-10,67.057,
1992-11,140.473,
1992-12,-112.611,
1993-01,348.638,
1993-02,564.797,
1993-03,5645.643,
1993-04,-103.367,
1993-05,115.995,
1993-06,458.750,
1993-07,48.750,
1993-08,861.307,
1993-09,365.124,
1993-10,874.188,
1993-11,349.639,
1993-12,-89.627,
1994-01,721.481,
1994-02,956.468,
1994-03,-1782.997,
1994-04,2183.411,
1994-05,-227.115,
1994-06,-349.292,
1994-07,302.075,
1994-08,154.849,
1994-09,-3391.593,
1994-10,174.930,
1994-11,-196.670,
1994-12,-4492.602,
1995-01,99.580,
1995-02,-235.621,
1995-03,-2220.712,
1995-04,97.025,
1995-05,-11.813,
1995-06,87.969,
1995-07,-57.094,
1995-08,92.122,
1995-09,-90.528,
1995-10,61.446,
1995-11,72.079,
1995-12,134.481,
1996-01,-78.068,
1996-02,104.542,
1996-03,35.938,
1996-04,19.527,
1996-05,50.217,
1996-06,42.309,
1996-07,4569.386,
1996-08,1384.139,
1996-09,1261.494,
1996-10,2504.169,
1996-11,2426.756,
1996-12,1852.653,
1997-01,7132.798,
1997-02,1162.613,
1997-03,1671.771,
1997-04,6527.400,
1997-05,1130.568,
1997-06,1207.685,
1997-07,6327.908,
1997-08,816.196,
1997-09,978.868,
1997-10,5380.538,
1997-11,923.780,
1997-12,2556.404,
1998-01,6161.566,
1998-02,1862.977,
1998-03,1746.115,
1998-04,4885.420,
1998-05,1806.514,
1998-06,862.937,
1998-07,5832.000,
1998-08,1434.357,
1998-09,1292.780,
1998-10,5138.573,
1998-11,1281.709,
1998-12,286.534,
1999-01,2685.149,
1999-02,1473.321,
1999-03,1767.787,
1999-04,3379.317,
1999-05,1290.000,
1999-06,739.272,
1999-07,5551.006,
1999-08,784.000,
1999-09,1097.832,
1999-10,3960.488,
1999-11,2943.257,
1999-12,1496.292,
2000-01,5603.508,
2000-02,976.948,
2000-03,126.000,
2000-04,6171.000,
2000-05,476.497,
2000-06,522.000,
2000-07,4609.014,
2000-08,1026.000,
2000-09,864.335,
2000-10,5203.000,
2000-11,758.810,
2000-12,652.000,
2001-01,5279.665,
2001-02,1225.000,
2001-03,1180.000,
2001-04,7511.474,
2001-05,610.071,
2001-06,712.000,
2001-07,8914.951,
2001-08,1704.800,
2001-09,817.100,
2001-10,10016.000,
2001-11,984.978,
2001-12,443.000,
2002-01,4743.149,
2002-02,670.000,
2002-03,557.000,
2002-04,6552.000,
2002-05,4583.000,
2002-06,6336.000,
2002-07,9004.000,
2002-08,5814.953,
2002-09,5395.000,
2002-10,6125.811,
2002-11,7268.911,
2002-12,4701.047,
2003-01,8105.884,
2003-02,5592.982,
2003-03,6798.614,
2003-04,6510.137,
2003-05,8996.915,
2003-06,5690.134,
2003-07,7235.390,
2003-08,7621.351,
2003-09,8412.576,
2003-10,7596.925,
2003-11,8289.271,
2003-12,6492.396,
2004-01,9531.080,
2004-02,6022.238,
2004-03,8806.782,
2004-04,6506.811,
2004-05,8300.046,
2004-06,6313.332,
2004-07,7782.935,
2004-08,7682.417,
2004-09,6844.420,
2004-10,7572.451,
2004-11,8647.393,
2004-12,8575.823,
2005-01,7938.650,
2005-02,7796.266,
2005-03,9568.643,
2005-04,7888.233,
2005-05,5913.508,
2005-06,6800.098,
2005-07,7138.235,
2005-08,9407.702,
2005-09,7747.802,
2005-10,4879.857,
2005-11,11063.700,
2005-12,11625.087,
2006-01,9701.693,
2006-02,9857.574,
2006-03,6969.329,
2006-04,8982.046,
2006-05,7651.134,
2006-06,9119.895,
2006-07,8506.506,
2006-08,9304.800,
2006-09,8001.399,
2006-10,9332.946,
2006-11,7630.562,
2006-12,7408.490,
2007-01,9654.873,
2007-02,7176.110,
2007-03,8853.683,
2007-04,8045.084,
2007-05,7962.722,
2007-06,7474.083,
2007-07,7386.447,
2007-08,8959.732,
2007-09,8571.504,
2007-10,6730.438,
2007-11,8659.331,
2007-12,9392.302,
2008-01,10146.358,
2008-02,8259.037,
2008-03,10767.583,
2008-04,9026.150,
2008-05,8413.194,
2008-06,8021.256,
2008-07,6993.672,
2008-08,9935.215,
2008-09,14150.011,
2008-10,8757.251,
2008-11,7667.501,
2008-12,9655.551,
2009-01,17741.626,
2009-02,18143.417,
2009-03,20409.159,
2009-04,23162.593,
2009-05,20161.531,
2009-06,15532.500,
2009-07,23177.485,
2009-08,16727.097,
2009-09,16115.896,
2009-10,16500.988,
2009-11,17560.238,
2009-12,10398.112,
2010-01,10034.013,
2010-02,14008.951,
2010-03,9786.298,
2010-04,16066.780,
2010-05,14067.998,
2010-06,13352.765,
2010-07,11355.673,
2010-08,12700.630,
2010-09,13393.520,
2010-10,24607.437,
2010-11,25825.581,
2010-12,16418.700,
2011-01,16234.828,
2011-02,12763.571,
2011-03,23238.296,
2011-04,21409.091,
2011-05,20211.816,
2011-06,26535.745,
2011-07,25564.908,
2011-08,27622.902,
2011-09,27261.793,
2011-10,24103.056,
2011-11,23685.115,
2011-12,22470.732,
2012-01,30799.313,
2012-02,29570.410,
2012-03,22622.724,
2012-04,21299.240,
2012-05,24755.376,
2012-06,21640.579,
2012-07,23073.108,
2012-08,19429.326,
2012-09,16552.518,
2012-10,18999.690,
2012-11,20115.973,
2012-12,7827.301,
2013-01,14637.182,
2013-02,17289.223,
2013-03,26075.881,
2013-04,16090.212,
2013-05,23807.295,
2013-06,18826.989,
2013-07,18245.380,
2013-08,17341.736,
2013-09,19257.976,
2013-10,18538.847,
2013-11,16156.189,
2013-12,9026.580,
2014-01,20359.328,
2014-02,20417.233,Provisional value
2014-03,16064.477,Provisional value
2014-04,14114.826,Provisional value
2014-05,19700.340,Provisional value
2014-06,11796.918,Provisional value
2014-07,16858.821,Provisional value
2014-08,16358.976,Provisional value
2014-09,12489.845,
2014-10,18760.834,
2014-11,15455.174,
2014-12,10759.784,Provisional value
