"",BBK01.OEAP04N,BBK01.OEAP04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:57,
2002-01,0.156,
2002-04,0.141,
2002-07,0.153,
2002-10,0.144,
2003-01,0.138,
2003-04,0.132,
2003-07,0.135,
2003-10,0.160,
2004-01,0.204,
2004-04,0.118,
2004-07,0.119,
2004-10,0.116,
2005-01,0.078,
2005-04,0.065,
2005-07,0.082,
2005-10,0.072,
2006-01,0.059,
2006-04,0.054,
2006-07,0.048,
2006-10,0.048,
2007-01,0.040,
2007-04,0.035,
2007-07,0.031,
2007-10,0.035,
2008-01,0.039,
2008-04,0.041,
2008-07,0.042,
2008-10,0.035,
2009-01,0.034,
2009-04,0.026,
2009-07,0.026,
2009-10,0.027,
2010-01,0.038,
2010-04,0.023,
2010-07,0.023,
2010-10,0.023,
2011-01,0.022,
2011-04,0.020,
2011-07,0.022,
2011-10,0.019,
2012-01,0.022,
2012-04,0.020,
2012-07,0.021,
2012-10,0.013,
2013-01,0.023,
2013-04,0.017,
2013-07,0.016,
2013-10,0.027,
2014-01,0.022,
2014-04,0.019,
2014-07,0.014,
