"",BBSF2.M.1.T.00000.GEF01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.GEF01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Mixed funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:04,
2009-09,28159,
2009-10,27843,
2009-11,27974,
2009-12,28553,
2010-01,28838,
2010-02,29126,
2010-03,29148,
2010-04,30934,
2010-05,32980,
2010-06,33284,
2010-07,33193,
2010-08,34139,
2010-09,33853,
2010-10,33169,
2010-11,33414,
2010-12,31059,
2011-01,30348,
2011-02,30572,
2011-03,30559,
2011-04,30865,
2011-05,31139,
2011-06,30824,
2011-07,31724,
2011-08,32567,
2011-09,32090,
2011-10,32360,
2011-11,32383,
2011-12,32464,
2012-01,31760,
2012-02,31974,
2012-03,31761,
2012-04,31894,
2012-05,32098,
2012-06,31889,
2012-07,31683,
2012-08,31936,
2012-09,31570,
2012-10,31029,
2012-11,30408,
2012-12,29953,
2013-01,29200,
2013-02,30199,
2013-03,30455,
2013-04,30400,
2013-05,30347,
2013-06,30396,
2013-07,30383,
2013-08,30432,
2013-09,30088,
2013-10,30057,
2013-11,29921,
2013-12,29911,
2014-01,30547,
2014-02,30081,
2014-03,29967,
2014-04,29668,
2014-05,29124,
2014-06,29988,
2014-07,30325,
2014-08,24894,
2014-09,24947,
2014-10,26623,
2014-11,27211,
