"",BBK01.OEAF33T,BBK01.OEAF33T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:13,
2002-01,5.456,
2002-04,5.476,
2002-07,5.478,
2002-10,5.552,
2003-01,5.484,
2003-04,5.546,
2003-07,5.595,
2003-10,5.674,
2004-01,5.734,
2004-04,5.758,
2004-07,5.778,
2004-10,5.789,
2005-01,6.490,
2005-04,6.508,
2005-07,6.536,
2005-10,6.527,
2006-01,6.520,
2006-04,6.558,
2006-07,6.603,
2006-10,6.704,
2007-01,6.683,
2007-04,6.767,
2007-07,6.721,
2007-10,6.668,
2008-01,6.570,
2008-04,6.493,
2008-07,6.507,
2008-10,6.469,
2009-01,6.369,
2009-04,6.582,
2009-07,6.608,
2009-10,6.304,
2010-01,5.424,
2010-04,6.581,
2010-07,6.774,
2010-10,6.671,
2011-01,6.728,
2011-04,6.705,
2011-07,6.713,
2011-10,6.704,
2012-01,6.679,
2012-04,6.723,
2012-07,6.774,
2012-10,6.813,
2013-01,6.824,
2013-04,6.895,
2013-07,6.956,
2013-10,6.934,
2014-01,6.937,
2014-04,6.975,
2014-07,7.090,
