"",BBSF2.M.1.S.I0011.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Non-financial corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:56,
2009-09,269,
2009-10,4,
2009-11,87,
2009-12,714,
2010-01,137,
2010-02,8,
2010-03,769,
2010-04,714,
2010-05,441,
2010-06,490,
2010-07,336,
2010-08,246,
2010-09,1847,
2010-10,524,
2010-11,250,
2010-12,349,
2011-01,509,
2011-02,442,
2011-03,380,
2011-04,1333,
2011-05,397,
2011-06,247,
2011-07,66,
2011-08,332,
2011-09,478,
2011-10,350,
2011-11,384,
2011-12,620,
2012-01,253,
2012-02,5923,
2012-03,1168,
2012-04,602,
2012-05,162,
2012-06,173,
2012-07,272,
2012-08,128,
2012-09,249,
2012-10,175,
2012-11,665,
2012-12,497,
2013-01,195,
2013-02,764,
2013-03,688,
2013-04,368,
2013-05,614,
2013-06,248,
2013-07,372,
2013-08,581,
2013-09,1296,
2013-10,1014,
2013-11,140,
2013-12,529,
2014-01,46,
2014-02,977,
2014-03,451,
2014-04,165,
2014-05,673,
2014-06,572,
2014-07,172,
2014-08,34,
2014-09,982,
2014-10,5946,
2014-11,949,
