"",BBK01.OXA8U8,BBK01.OXA8U8_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic non-financial corporations during the reporting period - total - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:53,
2009-12,-,Nothing exists
2010-01,2.367,
2010-02,-,Nothing exists
2010-03,2.033,
2010-04,-,Nothing exists
2010-05,1.784,
2010-06,1.576,
2010-07,1.579,
2010-08,1.498,
2010-09,1.625,
2010-10,2.770,
2010-11,1.602,
2010-12,1.729,
2011-01,1.377,
2011-02,0.803,
2011-03,1.129,
2011-04,0.775,
2011-05,1.055,
2011-06,0.942,
2011-07,0.991,
2011-08,0.968,
2011-09,0.973,
2011-10,1.063,
2011-11,1.667,
2011-12,0.936,
2012-01,1.703,
2012-02,0.735,
2012-03,0.477,
2012-04,1.841,
2012-05,0.931,
2012-06,0.982,
2012-07,1.645,
2012-08,1.189,
2012-09,0.490,
2012-10,-1.144,
2012-11,0.886,
2012-12,0.726,
2013-01,0.844,
2013-02,1.602,Provisional value
2013-03,0.879,
2013-04,1.012,
2013-05,1.609,
2013-06,1.242,
2013-07,0.915,
2013-08,0.507,
2013-09,0.851,
2013-10,1.223,
2013-11,1.688,
2013-12,0.929,
2014-01,0.782,
2014-02,0.730,
2014-03,1.161,
2014-04,0.421,
2014-05,1.881,
2014-06,1.026,
2014-07,1.032,
2014-08,0.802,
2014-09,1.655,
2014-10,1.253,
2014-11,0.928,
2014-12,1.678,Provisional value
