"",BBK01.OEAD31H,BBK01.OEAD31H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:54,
2002-01,18.831,
2002-04,18.506,
2002-07,18.175,
2002-10,18.048,
2003-01,17.523,
2003-04,17.336,
2003-07,17.041,
2003-10,16.827,
2004-01,16.479,
2004-04,15.962,
2004-07,15.662,
2004-10,15.296,
2005-01,15.022,
2005-04,14.774,
2005-07,14.369,
2005-10,14.110,
2006-01,13.926,
2006-04,13.816,
2006-07,13.703,
2006-10,13.726,
2007-01,13.307,
2007-04,13.671,
2007-07,13.719,
2007-10,13.570,
2008-01,13.610,
2008-04,13.651,
2008-07,13.759,
2008-10,13.476,
2009-01,13.228,
2009-04,12.770,
2009-07,12.784,
2009-10,12.371,
2010-01,11.845,
2010-04,12.620,
2010-07,12.671,
2010-10,12.649,
2011-01,12.417,
2011-04,12.330,
2011-07,12.283,
2011-10,12.455,
2012-01,12.982,
2012-04,12.905,
2012-07,12.436,
2012-10,12.427,
2013-01,12.093,
2013-04,12.166,
2013-07,12.148,
2013-10,11.993,
2014-01,11.824,
2014-04,11.859,
2014-07,11.995,
