"",BBFB1.Q.Y.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N_FLAGS
"",Balance of payments / Primary income: Investment income / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:20,
1991-01,10.53,
1991-04,12.50,
1991-07,11.76,
1991-10,12.20,
1992-01,11.34,
1992-04,12.08,
1992-07,12.32,
1992-10,12.36,
1993-01,13.39,
1993-04,13.32,
1993-07,13.21,
1993-10,13.30,
1994-01,14.20,
1994-04,13.97,
1994-07,14.52,
1994-10,15.33,
1995-01,15.52,
1995-04,15.04,
1995-07,15.68,
1995-10,16.19,
1996-01,14.30,
1996-04,15.14,
1996-07,18.21,
1996-10,16.38,
1997-01,18.08,
1997-04,19.00,
1997-07,18.41,
1997-10,20.02,
1998-01,19.36,
1998-04,21.94,
1998-07,21.62,
1998-10,22.15,
1999-01,23.01,
1999-04,23.86,
1999-07,24.46,
1999-10,27.68,
2000-01,27.46,
2000-04,29.89,
2000-07,32.65,
2000-10,33.71,
2001-01,30.12,
2001-04,28.35,
2001-07,27.24,
2001-10,27.05,
2002-01,31.06,
2002-04,29.82,
2002-07,31.15,
2002-10,31.17,
2003-01,30.19,
2003-04,29.78,
2003-07,30.42,
2003-10,30.52,
2004-01,29.38,
2004-04,27.62,
2004-07,28.43,
2004-10,29.86,
2005-01,32.94,
2005-04,31.76,
2005-07,34.72,
2005-10,36.16,
2006-01,36.59,
2006-04,36.44,
2006-07,39.75,
2006-10,42.63,
2007-01,48.60,
2007-04,49.13,
2007-07,49.55,
2007-10,47.19,
2008-01,43.62,
2008-04,41.19,
2008-07,36.93,
2008-10,34.14,
2009-01,29.81,
2009-04,29.52,
2009-07,26.78,
2009-10,27.93,
2010-01,31.63,
2010-04,33.84,
2010-07,35.02,
2010-10,35.88,
2011-01,33.96,
2011-04,34.91,
2011-07,33.16,
2011-10,33.02,
2012-01,32.65,
2012-04,32.13,
2012-07,31.53,
2012-10,30.99,
2013-01,30.84,
2013-04,29.52,
2013-07,31.00,
2013-10,29.16,
2014-01,29.23,
2014-04,31.11,Provisional value
2014-07,29.01,Provisional value
2014-10,27.81,Provisional value
