"",BBK01.OEAC07O,BBK01.OEAC07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:15,
2002-01,0.987,
2002-04,0.990,
2002-07,0.970,
2002-10,0.972,
2003-01,0.961,
2003-04,0.991,
2003-07,0.919,
2003-10,0.950,
2004-01,0.943,
2004-04,0.935,
2004-07,0.924,
2004-10,0.915,
2005-01,0.965,
2005-04,0.971,
2005-07,0.966,
2005-10,0.934,
2006-01,0.945,
2006-04,0.933,
2006-07,0.930,
2006-10,0.906,
2007-01,0.897,
2007-04,0.912,
2007-07,0.913,
2007-10,0.954,
2008-01,0.983,
2008-04,1.010,
2008-07,0.970,
2008-10,1.074,
2009-01,1.190,
2009-04,1.067,
2009-07,1.092,
2009-10,1.081,
2010-01,0.918,
2010-04,1.122,
2010-07,1.138,
2010-10,1.061,
2011-01,1.084,
2011-04,1.093,
2011-07,1.101,
2011-10,1.129,
2012-01,1.126,
2012-04,1.156,
2012-07,1.131,
2012-10,1.144,
2013-01,1.199,
2013-04,1.207,
2013-07,1.219,
2013-10,1.270,
2014-01,1.272,
2014-04,1.253,
2014-07,1.294,
