"",BBK01.OECI05I,BBK01.OECI05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:46,
2002-01,0.093,
2002-04,0.092,
2002-07,0.084,
2002-10,0.081,
2003-01,0.070,
2003-04,0.054,
2003-07,0.047,
2003-10,0.047,
2004-01,0.041,
2004-04,0.043,
2004-07,0.123,
2004-10,0.123,
2005-01,0.453,
2005-04,0.450,
2005-07,0.436,
2005-10,0.426,
2006-01,0.420,
2006-04,0.427,
2006-07,0.428,
2006-10,0.422,
2007-01,0.447,
2007-04,0.442,
2007-07,0.440,
2007-10,0.442,
2008-01,0.434,
2008-04,0.458,
2008-07,0.511,
2008-10,0.508,
2009-01,0.507,
2009-04,0.532,
2009-07,0.623,
2009-10,0.617,
2010-01,0.633,
2010-04,0.624,
2010-07,0.619,
2010-10,0.602,
2011-01,0.545,
2011-04,0.515,
2011-07,0.499,
2011-10,0.492,
2012-01,0.489,
2012-04,0.537,
2012-07,0.525,
2012-10,0.523,
2013-01,0.513,
2013-04,0.505,
2013-07,0.504,
2013-10,0.509,
2014-01,0.492,
2014-04,0.443,
2014-07,0.502,
