"",BBFN1.M.DE.N.1.A.IL.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IL.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1993-05,0.021,
1993-06,0.019,
1993-07,0.030,
1993-08,0.029,
1993-09,0.036,
1993-10,0.037,
1993-11,0.039,
1993-12,0.056,
1994-01,0.048,
1994-02,0.035,
1994-03,0.034,
1994-04,0.034,
1994-05,0.034,
1994-06,0.035,
1994-07,0.035,
1994-08,0.034,
1994-09,0.032,
1994-10,0.035,
1994-11,0.033,
1994-12,0.033,
1995-01,0.032,
1995-02,0.032,
1995-03,0.033,
1995-04,0.033,
1995-05,0.030,
1995-06,0.030,
1995-07,0.022,
1995-08,0.022,
1995-09,0.019,
1995-10,0.020,
1995-11,0.040,
1995-12,0.026,
1996-01,0.029,
1996-02,0.028,
1996-03,0.034,
1996-04,0.037,
1996-05,0.038,
1996-06,0.039,
1996-07,0.039,
1996-08,0.039,
1996-09,0.051,
1996-10,0.044,
1996-11,0.046,
1996-12,0.046,
1997-01,0.042,
1997-02,0.047,
1997-03,0.046,
1997-04,0.050,
1997-05,0.055,
1997-06,0.052,
1997-07,0.055,
1997-08,0.058,
1997-09,0.033,
1997-10,0.031,
1997-11,0.031,
1997-12,0.030,
1998-01,0.032,
1998-02,0.026,
1998-03,0.047,
1998-04,0.045,
1998-05,0.047,
1998-06,0.053,
1998-07,0.062,
1998-08,0.042,
1998-09,0.035,
1998-10,0.039,
1998-11,0.037,
1998-12,0.052,
1999-01,0.049,
1999-02,0.066,
1999-03,0.058,
1999-04,0.060,
1999-05,0.060,
1999-06,0.067,
1999-07,0.072,
1999-08,0.070,
1999-09,0.074,
1999-10,0.107,
1999-11,0.104,
1999-12,0.075,
2000-01,0.074,
2000-02,0.076,
2000-03,0.128,
2000-04,0.133,
2000-05,0.135,
2000-06,0.140,
2000-07,0.132,
2000-08,0.129,
2000-09,0.155,
2000-10,0.212,
2000-11,0.230,
2000-12,0.175,
2001-01,0.198,
2001-02,0.199,
2001-03,0.208,
2001-04,0.218,
2001-05,0.224,
2001-06,0.223,
2001-07,0.226,
2001-08,0.227,
2001-09,0.248,
2001-10,0.238,
2001-11,0.245,
2001-12,0.178,
2002-01,0.182,
2002-02,0.185,
2002-03,0.241,
2002-04,0.259,
2002-05,0.255,
2002-06,0.257,
2002-07,0.265,
2002-08,0.266,
2002-09,0.233,
2002-10,0.228,
2002-11,0.276,
2002-12,0.258,
2003-01,0.227,
2003-02,0.285,
2003-03,0.216,
2003-04,0.207,
2003-05,0.193,
2003-06,0.189,
2003-07,0.165,
2003-08,0.179,
2003-09,0.176,
2003-10,0.166,
2003-11,0.170,
2003-12,0.148,
2004-01,0.152,
2004-02,0.157,
2004-03,0.174,
2004-04,0.171,
2004-05,0.172,
2004-06,0.163,
2004-07,0.156,
2004-08,0.158,
2004-09,0.166,
2004-10,0.158,
2004-11,0.171,
2004-12,0.175,
2005-01,0.151,
2005-02,0.190,
2005-03,0.182,
2005-04,0.195,
2005-05,0.183,
2005-06,0.156,
2005-07,0.153,
2005-08,0.151,
2005-09,0.148,
2005-10,0.141,
2005-11,0.148,
2005-12,0.153,
2006-01,0.167,
2006-02,0.182,
2006-03,0.182,
2006-04,0.179,
2006-05,0.152,
2006-06,0.179,
2006-07,0.169,
2006-08,0.172,
2006-09,0.182,
2006-10,0.158,
2006-11,0.157,
2006-12,0.154,
2007-01,0.096,
2007-02,0.085,
2007-03,0.108,
2007-04,0.096,
2007-05,0.094,
2007-06,0.098,
2007-07,0.073,
2007-08,0.154,
2007-09,0.086,
2007-10,0.079,
2007-11,0.079,
2007-12,0.082,
2008-01,0.084,
2008-02,0.094,
2008-03,0.110,
2008-04,0.105,
2008-05,0.106,
2008-06,0.126,
2008-07,0.116,
2008-08,0.109,
2008-09,0.122,
2008-10,0.116,
2008-11,0.239,
2008-12,0.136,
2009-01,0.128,
2009-02,0.131,
2009-03,0.148,
2009-04,0.154,
2009-05,0.138,
2009-06,0.142,
2009-07,0.139,
2009-08,0.124,
2009-09,0.136,
2009-10,0.099,
2009-11,0.352,
2009-12,0.220,
2010-01,0.371,
2010-02,0.201,
2010-03,0.233,
2010-04,0.243,
2010-05,0.248,
2010-06,0.259,
2010-07,0.258,
2010-08,0.261,
2010-09,0.264,
2010-10,0.268,
2010-11,0.287,
2010-12,0.382,
2011-01,0.288,
2011-02,0.315,
2011-03,0.319,
2011-04,0.317,
2011-05,0.330,
2011-06,0.324,
2011-07,0.402,
2011-08,0.400,
2011-09,0.516,
2011-10,0.437,
2011-11,0.457,
2011-12,0.509,
2012-01,0.519,
2012-02,0.512,
2012-03,0.534,
2012-04,0.469,
2012-05,0.496,
2012-06,0.488,
2012-07,0.507,
2012-08,0.539,
2012-09,0.534,
2012-10,0.557,
2012-11,0.574,
2012-12,0.656,
2013-01,0.633,
2013-02,0.669,
2013-03,0.742,
2013-04,0.688,
2013-05,0.702,
2013-06,0.722,
2013-07,0.560,
2013-08,0.677,
2013-09,0.636,
2013-10,0.629,
2013-11,0.639,
2013-12,0.630,
2014-01,0.617,
2014-02,0.607,
2014-03,0.621,
2014-04,0.624,
2014-05,0.646,
2014-06,0.663,
2014-07,0.687,
2014-08,0.676,
2014-09,0.654,
2014-10,0.664,
2014-11,0.673,
2014-12,0.693,
