"",BBK01.OEAD17U,BBK01.OEAD17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:38,
2002-01,0.088,
2002-04,0.097,
2002-07,0.107,
2002-10,0.085,
2003-01,0.080,
2003-04,0.087,
2003-07,0.094,
2003-10,0.075,
2004-01,0.076,
2004-04,0.065,
2004-07,0.067,
2004-10,0.060,
2005-01,0.066,
2005-04,0.056,
2005-07,0.040,
2005-10,0.036,
2006-01,0.040,
2006-04,0.042,
2006-07,0.048,
2006-10,0.047,
2007-01,0.070,
2007-04,0.057,
2007-07,0.062,
2007-10,0.052,
2008-01,0.068,
2008-04,0.070,
2008-07,0.080,
2008-10,0.077,
2009-01,0.063,
2009-04,0.069,
2009-07,0.046,
2009-10,0.047,
2010-01,0.053,
2010-04,0.062,
2010-07,0.062,
2010-10,0.049,
2011-01,0.065,
2011-04,0.073,
2011-07,0.072,
2011-10,0.070,
2012-01,0.075,
2012-04,0.070,
2012-07,0.070,
2012-10,0.072,
2013-01,0.066,
2013-04,0.071,
2013-07,0.066,
2013-10,0.053,
2014-01,0.065,
2014-04,0.068,
2014-07,0.052,
