"",BBK01.OEAC11O,BBK01.OEAC11O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:43,
2002-01,10.669,
2002-04,11.104,
2002-07,10.906,
2002-10,10.756,
2003-01,10.866,
2003-04,10.216,
2003-07,8.741,
2003-10,9.578,
2004-01,9.559,
2004-04,9.748,
2004-07,9.732,
2004-10,9.578,
2005-01,9.540,
2005-04,9.411,
2005-07,9.130,
2005-10,8.983,
2006-01,8.957,
2006-04,8.899,
2006-07,8.948,
2006-10,9.076,
2007-01,9.088,
2007-04,9.144,
2007-07,9.150,
2007-10,9.003,
2008-01,8.944,
2008-04,8.987,
2008-07,8.781,
2008-10,8.500,
2009-01,8.432,
2009-04,8.566,
2009-07,8.592,
2009-10,8.449,
2010-01,8.559,
2010-04,8.331,
2010-07,8.726,
2010-10,8.963,
2011-01,8.857,
2011-04,8.832,
2011-07,8.606,
2011-10,8.587,
2012-01,8.780,
2012-04,9.159,
2012-07,9.076,
2012-10,9.197,
2013-01,9.202,
2013-04,9.328,
2013-07,9.899,
2013-10,9.967,
2014-01,10.085,
2014-04,10.156,
2014-07,10.183,
