"",BBK01.OEAA11K,BBK01.OEAA11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:57,
2002-01,19.917,
2002-04,19.559,
2002-07,18.617,
2002-10,19.076,
2003-01,17.483,
2003-04,17.771,
2003-07,17.154,
2003-10,19.163,
2004-01,17.856,
2004-04,16.834,
2004-07,15.448,
2004-10,15.126,
2005-01,14.123,
2005-04,14.156,
2005-07,13.853,
2005-10,14.647,
2006-01,13.649,
2006-04,14.509,
2006-07,15.085,
2006-10,15.839,
2007-01,14.868,
2007-04,14.103,
2007-07,15.352,
2007-10,15.381,
2008-01,16.405,
2008-04,16.897,
2008-07,16.714,
2008-10,17.398,
2009-01,17.870,
2009-04,17.716,
2009-07,17.235,
2009-10,17.007,
2010-01,17.412,
2010-04,18.992,
2010-07,17.281,
2010-10,16.972,
2011-01,16.627,
2011-04,16.538,
2011-07,17.478,
2011-10,17.118,
2012-01,17.646,
2012-04,18.320,
2012-07,18.055,
2012-10,17.300,
2013-01,17.397,
2013-04,17.977,
2013-07,17.701,
2013-10,17.307,
2014-01,17.383,
2014-04,18.253,
2014-07,17.153,
