"",BBFN1.M.DE.N.1.A.TN.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TN.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Tunisia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:57,
1994-12,0.141,
1995-01,0.132,
1995-02,0.133,
1995-03,0.139,
1995-04,0.143,
1995-05,0.141,
1995-06,0.147,
1995-07,0.147,
1995-08,0.141,
1995-09,0.150,
1995-10,0.148,
1995-11,0.146,
1995-12,0.138,
1996-01,0.134,
1996-02,0.138,
1996-03,0.144,
1996-04,0.143,
1996-05,0.137,
1996-06,0.140,
1996-07,0.137,
1996-08,0.136,
1996-09,0.131,
1996-10,0.139,
1996-11,0.120,
1996-12,0.123,
1997-01,0.124,
1997-02,0.126,
1997-03,0.122,
1997-04,0.140,
1997-05,0.135,
1997-06,0.140,
1997-07,0.150,
1997-08,0.147,
1997-09,0.160,
1997-10,0.164,
1997-11,0.162,
1997-12,0.158,
1998-01,0.159,
1998-02,0.160,
1998-03,0.162,
1998-04,0.172,
1998-05,0.174,
1998-06,0.185,
1998-07,0.182,
1998-08,0.175,
1998-09,0.170,
1998-10,0.179,
1998-11,0.170,
1998-12,0.168,
1999-01,0.162,
1999-02,0.166,
1999-03,0.178,
1999-04,0.169,
1999-05,0.171,
1999-06,0.174,
1999-07,0.173,
1999-08,0.174,
1999-09,0.176,
1999-10,0.180,
1999-11,0.173,
1999-12,0.184,
2000-01,0.173,
2000-02,0.168,
2000-03,0.177,
2000-04,0.200,
2000-05,0.192,
2000-06,0.201,
2000-07,0.196,
2000-08,0.195,
2000-09,0.203,
2000-10,0.225,
2000-11,0.225,
2000-12,0.230,
2001-01,0.234,
2001-02,0.242,
2001-03,0.243,
2001-04,0.253,
2001-05,0.253,
2001-06,0.251,
2001-07,0.243,
2001-08,0.249,
2001-09,0.256,
2001-10,0.250,
2001-11,0.240,
2001-12,0.221,
2002-01,0.252,
2002-02,0.243,
2002-03,0.225,
2002-04,0.234,
2002-05,0.226,
2002-06,0.238,
2002-07,0.226,
2002-08,0.226,
2002-09,0.250,
2002-10,0.256,
2002-11,0.260,
2002-12,0.247,
2003-01,0.260,
2003-02,0.244,
2003-03,0.228,
2003-04,0.230,
2003-05,0.220,
2003-06,0.242,
2003-07,0.233,
2003-08,0.246,
2003-09,0.237,
2003-10,0.255,
2003-11,0.242,
2003-12,0.243,
2004-01,0.243,
2004-02,0.234,
2004-03,0.238,
2004-04,0.242,
2004-05,0.243,
2004-06,0.242,
2004-07,0.253,
2004-08,0.257,
2004-09,0.275,
2004-10,0.264,
2004-11,0.271,
2004-12,0.266,
2005-01,0.246,
2005-02,0.262,
2005-03,0.263,
2005-04,0.268,
2005-05,0.278,
2005-06,0.269,
2005-07,0.262,
2005-08,0.253,
2005-09,0.248,
2005-10,0.248,
2005-11,0.261,
2005-12,0.257,
2006-01,0.253,
2006-02,0.280,
2006-03,0.291,
2006-04,0.318,
2006-05,0.329,
2006-06,0.312,
2006-07,0.314,
2006-08,0.312,
2006-09,0.303,
2006-10,0.298,
2006-11,0.310,
2006-12,0.307,
2007-01,0.306,
2007-02,0.323,
2007-03,0.334,
2007-04,0.353,
2007-05,0.336,
2007-06,0.318,
2007-07,0.329,
2007-08,0.324,
2007-09,0.316,
2007-10,0.320,
2007-11,0.329,
2007-12,0.326,
2008-01,0.333,
2008-02,0.355,
2008-03,0.355,
2008-04,0.377,
2008-05,0.391,
2008-06,0.368,
2008-07,0.371,
2008-08,0.343,
2008-09,0.351,
2008-10,0.360,
2008-11,0.366,
2008-12,0.328,
2009-01,0.293,
2009-02,0.306,
2009-03,0.327,
2009-04,0.331,
2009-05,0.320,
2009-06,0.353,
2009-07,0.356,
2009-08,0.358,
2009-09,0.347,
2009-10,0.341,
2009-11,0.367,
2009-12,0.360,
2010-01,0.359,
2010-02,0.373,
2010-03,0.380,
2010-04,0.403,
2010-05,0.417,
2010-06,0.449,
2010-07,0.454,
2010-08,0.445,
2010-09,0.442,
2010-10,0.435,
2010-11,0.433,
2010-12,0.445,
2011-01,0.470,
2011-02,0.450,
2011-03,0.442,
2011-04,0.417,
2011-05,0.430,
2011-06,0.428,
2011-07,0.451,
2011-08,0.465,
2011-09,0.429,
2011-10,0.455,
2011-11,0.477,
2011-12,0.474,
2012-01,0.496,
2012-02,0.502,
2012-03,0.502,
2012-04,0.503,
2012-05,0.505,
2012-06,0.509,
2012-07,0.531,
2012-08,0.479,
2012-09,0.520,
2012-10,0.489,
2012-11,0.487,
2012-12,0.442,
2013-01,0.446,
2013-02,0.447,
2013-03,0.478,
2013-04,0.488,
2013-05,0.496,
2013-06,0.548,
2013-07,0.505,
2013-08,0.501,
2013-09,0.475,
2013-10,0.395,
2013-11,0.376,
2013-12,0.375,
2014-01,0.366,
2014-02,0.374,
2014-03,0.404,
2014-04,0.398,
2014-05,0.414,
2014-06,0.430,
2014-07,0.429,
2014-08,0.419,
2014-09,0.397,
2014-10,0.374,
2014-11,0.363,
2014-12,0.346,
