"",BBK01.OEAP01K,BBK01.OEAP01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:50,
2002-01,0.105,
2002-04,0.097,
2002-07,0.105,
2002-10,0.064,
2003-01,0.074,
2003-04,0.061,
2003-07,0.067,
2003-10,0.037,
2004-01,0.046,
2004-04,0.052,
2004-07,0.042,
2004-10,0.061,
2005-01,0.046,
2005-04,0.035,
2005-07,0.027,
2005-10,0.041,
2006-01,0.036,
2006-04,0.027,
2006-07,0.013,
2006-10,0.018,
2007-01,0.015,
2007-04,0.007,
2007-07,0.014,
2007-10,0.029,
2008-01,0.017,
2008-04,0.014,
2008-07,0.014,
2008-10,0.008,
2009-01,0.014,
2009-04,0.019,
2009-07,0.018,
2009-10,0.015,
2010-01,0.009,
2010-04,0.056,
2010-07,0.024,
2010-10,0.004,
2011-01,0.006,
2011-04,0.011,
2011-07,0.011,
2011-10,0.017,
2012-01,0.008,
2012-04,0.012,
2012-07,0.004,
2012-10,0.005,
2013-01,0.003,
2013-04,0.001,
2013-07,0.003,
2013-10,0.004,
2014-01,0.003,
2014-04,0.001,
2014-07,0.003,
