"",BBFN1.M.DE.N.1.L.CZ.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CZ.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Czech Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:41,
1994-07,0.146,
1994-08,0.176,
1994-09,0.183,
1994-10,0.194,
1994-11,0.197,
1994-12,0.214,
1995-01,0.196,
1995-02,0.208,
1995-03,0.222,
1995-04,0.226,
1995-05,0.234,
1995-06,0.243,
1995-07,0.231,
1995-08,0.228,
1995-09,0.237,
1995-10,0.246,
1995-11,0.248,
1995-12,0.229,
1996-01,0.214,
1996-02,0.220,
1996-03,0.238,
1996-04,0.212,
1996-05,0.218,
1996-06,0.249,
1996-07,0.223,
1996-08,0.219,
1996-09,0.237,
1996-10,0.242,
1996-11,0.269,
1996-12,0.247,
1997-01,0.234,
1997-02,0.239,
1997-03,0.254,
1997-04,0.266,
1997-05,0.268,
1997-06,0.293,
1997-07,0.282,
1997-08,0.269,
1997-09,0.295,
1997-10,0.327,
1997-11,0.336,
1997-12,0.342,
1998-01,0.311,
1998-02,0.324,
1998-03,0.376,
1998-04,0.338,
1998-05,0.348,
1998-06,0.328,
1998-07,0.339,
1998-08,0.311,
1998-09,0.371,
1998-10,0.393,
1998-11,0.369,
1998-12,0.394,
1999-01,0.329,
1999-02,0.348,
1999-03,0.392,
1999-04,0.387,
1999-05,0.470,
1999-06,0.497,
1999-07,0.488,
1999-08,0.411,
1999-09,0.419,
1999-10,0.449,
1999-11,0.488,
1999-12,0.422,
2000-01,0.424,
2000-02,0.451,
2000-03,0.485,
2000-04,0.472,
2000-05,0.498,
2000-06,0.541,
2000-07,0.476,
2000-08,0.512,
2000-09,0.527,
2000-10,0.554,
2000-11,0.593,
2000-12,0.583,
2001-01,0.577,
2001-02,0.597,
2001-03,0.661,
2001-04,0.630,
2001-05,0.682,
2001-06,0.674,
2001-07,0.652,
2001-08,0.636,
2001-09,0.667,
2001-10,0.674,
2001-11,0.683,
2001-12,0.622,
2002-01,0.611,
2002-02,0.594,
2002-03,0.575,
2002-04,0.617,
2002-05,0.654,
2002-06,0.638,
2002-07,0.631,
2002-08,0.610,
2002-09,0.668,
2002-10,0.692,
2002-11,0.694,
2002-12,0.642,
2003-01,0.633,
2003-02,0.663,
2003-03,0.664,
2003-04,0.675,
2003-05,0.652,
2003-06,0.674,
2003-07,0.667,
2003-08,0.618,
2003-09,0.748,
2003-10,0.778,
2003-11,0.746,
2003-12,0.675,
2004-01,0.727,
2004-02,0.747,
2004-03,0.815,
2004-04,0.774,
2004-05,0.817,
2004-06,0.820,
2004-07,0.830,
2004-08,0.713,
2004-09,0.900,
2004-10,0.895,
2004-11,0.924,
2004-12,0.817,
2005-01,0.832,
2005-02,0.837,
2005-03,0.908,
2005-04,0.893,
2005-05,0.848,
2005-06,0.942,
2005-07,0.860,
2005-08,0.830,
2005-09,0.996,
2005-10,0.997,
2005-11,1.013,
2005-12,0.968,
2006-01,0.953,
2006-02,0.963,
2006-03,1.086,
2006-04,0.979,
2006-05,1.083,
2006-06,1.081,
2006-07,0.956,
2006-08,0.866,
2006-09,1.108,
2006-10,1.156,
2006-11,1.169,
2006-12,1.133,
2007-01,1.148,
2007-02,1.208,
2007-03,1.353,
2007-04,1.237,
2007-05,1.264,
2007-06,1.339,
2007-07,1.206,
2007-08,1.114,
2007-09,1.389,
2007-10,1.496,
2007-11,1.563,
2007-12,1.450,
2008-01,1.495,
2008-02,1.647,
2008-03,1.750,
2008-04,1.766,
2008-05,1.846,
2008-06,2.019,
2008-07,1.988,
2008-08,2.159,
2008-09,2.554,
2008-10,2.450,
2008-11,2.597,
2008-12,2.677,
2009-01,2.371,
2009-02,2.424,
2009-03,2.792,
2009-04,2.627,
2009-05,2.620,
2009-06,3.409,
2009-07,3.358,
2009-08,2.693,
2009-09,3.169,
2009-10,3.730,
2009-11,3.776,
2009-12,2.058,
2010-01,1.333,
2010-02,1.338,
2010-03,2.313,
2010-04,2.131,
2010-05,1.963,
2010-06,2.267,
2010-07,1.861,
2010-08,1.655,
2010-09,2.119,
2010-10,1.940,
2010-11,1.907,
2010-12,1.960,
2011-01,1.670,
2011-02,1.935,
2011-03,2.362,
2011-04,1.991,
2011-05,2.034,
2011-06,2.332,
2011-07,2.018,
2011-08,1.887,
2011-09,2.337,
2011-10,2.260,
2011-11,2.435,
2011-12,2.615,
2012-01,2.293,
2012-02,2.526,
2012-03,3.063,
2012-04,2.353,
2012-05,2.293,
2012-06,2.749,
2012-07,2.200,
2012-08,2.027,
2012-09,2.699,
2012-10,2.408,
2012-11,2.334,
2012-12,2.426,
2013-01,2.074,
2013-02,2.150,
2013-03,2.787,
2013-04,2.247,
2013-05,2.187,
2013-06,2.630,
2013-07,2.088,
2013-08,2.161,
2013-09,3.134,
2013-10,2.568,
2013-11,2.577,
2013-12,2.837,
2014-01,2.205,
2014-02,2.409,
2014-03,2.905,
2014-04,2.458,
2014-05,2.431,
2014-06,2.795,
2014-07,2.408,
2014-08,2.222,
2014-09,2.841,
2014-10,2.623,
2014-11,2.633,
2014-12,2.681,
