"",BBSF2.M.1.S.00000.AKT01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:23,
2009-09,5431,
2009-10,5140,
2009-11,5271,
2009-12,5072,
2010-01,5403,
2010-02,5614,
2010-03,6362,
2010-04,6273,
2010-05,6013,
2010-06,6036,
2010-07,6199,
2010-08,5820,
2010-09,5921,
2010-10,5972,
2010-11,6044,
2010-12,6188,
2011-01,6057,
2011-02,6230,
2011-03,6050,
2011-04,6025,
2011-05,5804,
2011-06,5766,
2011-07,5675,
2011-08,4753,
2011-09,4600,
2011-10,5170,
2011-11,4965,
2011-12,4517,
2012-01,4870,
2012-02,4754,
2012-03,4737,
2012-04,3772,
2012-05,3510,
2012-06,3456,
2012-07,3747,
2012-08,3735,
2012-09,3847,
2012-10,3854,
2012-11,3986,
2012-12,5330,
2013-01,5421,
2013-02,5261,
2013-03,5213,
2013-04,5035,
2013-05,5255,
2013-06,4885,
2013-07,5155,
2013-08,5011,
2013-09,5118,
2013-10,5194,
2013-11,5881,
2013-12,5212,
2014-01,4894,
2014-02,5107,
2014-03,4991,
2014-04,5000,
2014-05,5014,
2014-06,4981,
2014-07,4796,
2014-08,5109,
2014-09,5011,
2014-10,5081,
2014-11,7106,
