"",BBK01.CEF5N0,BBK01.CEF5N0_FLAGS
"",Equity and investment fund shares or units                                                     debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:27,
1999-01,683.1,
1999-04,740.1,
1999-07,757.6,
1999-10,882.2,
2000-01,947.1,
2000-04,995.6,
2000-07,1067.3,
2000-10,1104.5,
2001-01,1002.2,
2001-04,1078.1,
2001-07,994.7,
2001-10,1115.4,
2002-01,1136.5,
2002-04,1064.3,
2002-07,943.2,
2002-10,904.5,
2003-01,842.5,
2003-04,877.4,
2003-07,891.6,
2003-10,953.7,
2004-01,928.4,
2004-04,958.0,
2004-07,967.8,
2004-10,1002.8,
2005-01,1054.2,
2005-04,1115.1,
2005-07,1178.2,
2005-10,1301.8,
2006-01,1394.2,
2006-04,1336.0,
2006-07,1393.1,
2006-10,1439.7,
2007-01,1473.9,
2007-04,1535.0,
2007-07,1524.8,
2007-10,1520.4,
2008-01,1431.3,
2008-04,1428.3,
2008-07,1406.7,
2008-10,1259.4,
2009-01,1248.2,
2009-04,1302.7,
2009-07,1359.2,
2009-10,1394.2,
2010-01,1458.1,
2010-04,1492.8,
2010-07,1491.0,
2010-10,1548.4,
2011-01,1543.7,
2011-04,1559.6,
2011-07,1513.7,
2011-10,1558.5,
2012-01,1606.3,
2012-04,1610.1,
2012-07,1652.1,
2012-10,1696.9,
2013-01,1766.3,
2013-04,1755.6,
2013-07,1800.9,
2013-10,1831.4,
2014-01,1869.8,
2014-04,1941.5,
2014-07,2003.7,
