"",BBK01.OEAB07U,BBK01.OEAB07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:52,
2002-01,1.289,
2002-04,1.354,
2002-07,1.353,
2002-10,1.602,
2003-01,1.589,
2003-04,1.658,
2003-07,1.684,
2003-10,1.677,
2004-01,1.754,
2004-04,1.709,
2004-07,1.739,
2004-10,1.756,
2005-01,1.702,
2005-04,1.691,
2005-07,1.782,
2005-10,1.773,
2006-01,1.775,
2006-04,1.823,
2006-07,1.848,
2006-10,1.879,
2007-01,1.810,
2007-04,1.692,
2007-07,1.635,
2007-10,1.500,
2008-01,1.437,
2008-04,1.421,
2008-07,1.358,
2008-10,1.336,
2009-01,1.302,
2009-04,1.293,
2009-07,1.318,
2009-10,1.321,
2010-01,1.337,
2010-04,1.358,
2010-07,1.347,
2010-10,1.326,
2011-01,1.361,
2011-04,1.344,
2011-07,1.351,
2011-10,1.318,
2012-01,1.325,
2012-04,1.342,
2012-07,1.349,
2012-10,1.323,
2013-01,1.364,
2013-04,1.380,
2013-07,1.467,
2013-10,1.462,
2014-01,1.421,
2014-04,1.409,
2014-07,1.343,
