"",BBK01.OEHI02P,BBK01.OEHI02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:35,
2002-01,2.250,
2002-04,2.290,
2002-07,2.318,
2002-10,2.336,
2003-01,2.335,
2003-04,2.463,
2003-07,2.436,
2003-10,2.526,
2004-01,2.547,
2004-04,2.564,
2004-07,2.493,
2004-10,2.566,
2005-01,2.512,
2005-04,2.614,
2005-07,2.670,
2005-10,2.735,
2006-01,2.687,
2006-04,2.691,
2006-07,2.782,
2006-10,2.785,
2007-01,2.846,
2007-04,2.798,
2007-07,2.870,
2007-10,2.898,
2008-01,2.920,
2008-04,2.902,
2008-07,2.786,
2008-10,2.988,
2009-01,3.021,
2009-04,3.240,
2009-07,3.340,
2009-10,3.623,
2010-01,3.674,
2010-04,3.829,
2010-07,3.823,
2010-10,4.098,
2011-01,3.920,
2011-04,3.868,
2011-07,3.949,
2011-10,4.248,
2012-01,4.020,
2012-04,4.194,
2012-07,4.475,
2012-10,4.707,
2013-01,4.939,
2013-04,5.045,
2013-07,5.125,
2013-10,5.290,
2014-01,5.234,
2014-04,5.481,
2014-07,5.510,
