"",BBK01.OEHK02R,BBK01.OEHK02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:33,
2002-01,0.273,
2002-04,0.285,
2002-07,0.312,
2002-10,0.302,
2003-01,0.276,
2003-04,0.299,
2003-07,0.322,
2003-10,0.323,
2004-01,0.286,
2004-04,0.304,
2004-07,0.333,
2004-10,0.331,
2005-01,0.304,
2005-04,0.319,
2005-07,0.357,
2005-10,0.350,
2006-01,0.307,
2006-04,0.311,
2006-07,0.367,
2006-10,0.362,
2007-01,0.328,
2007-04,0.341,
2007-07,0.379,
2007-10,0.367,
2008-01,0.338,
2008-04,0.351,
2008-07,0.386,
2008-10,0.394,
2009-01,0.363,
2009-04,0.393,
2009-07,0.444,
2009-10,0.443,
2010-01,0.411,
2010-04,0.446,
2010-07,0.497,
2010-10,0.487,
2011-01,0.445,
2011-04,0.467,
2011-07,0.516,
2011-10,0.481,
2012-01,0.458,
2012-04,0.487,
2012-07,0.537,
2012-10,0.516,
2013-01,0.486,
2013-04,0.517,
2013-07,0.591,
2013-10,0.561,
2014-01,0.547,
2014-04,0.579,
2014-07,0.647,
