"",BBFB1.Q.N.DE.W00200.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:18,
1991-01,6445.928,
1991-04,2514.804,
1991-07,4954.175,
1991-10,6027.471,
1992-01,5545.990,
1992-04,4040.463,
1992-07,7787.146,
1992-10,4637.364,
1993-01,7961.574,
1993-04,7376.497,
1993-07,6686.591,
1993-10,8761.279,
1994-01,9279.091,
1994-04,10299.269,
1994-07,8990.341,
1994-10,8871.691,
1995-01,9681.178,
1995-04,10618.271,
1995-07,10573.319,
1995-10,10939.116,
1996-01,11448.338,
1996-04,11258.184,
1996-07,12204.715,
1996-10,11601.909,
1997-01,11251.656,
1997-04,13655.253,
1997-07,13430.203,
1997-10,14334.433,
1998-01,14285.364,
1998-04,15898.108,
1998-07,15140.833,
1998-10,17357.940,
1999-01,15754.264,
1999-04,16480.329,
1999-07,16173.651,
1999-10,19649.234,
2000-01,21667.871,
2000-04,20747.601,
2000-07,17359.057,
2000-10,17334.616,
2001-01,25655.494,
2001-04,21016.125,
2001-07,24933.348,
2001-10,26047.907,
2002-01,32154.559,
2002-04,30629.909,
2002-07,33667.158,
2002-10,31061.837,
2003-01,29635.852,
2003-04,27389.790,
2003-07,33056.476,
2003-10,30989.001,
2004-01,36500.184,
2004-04,38572.309,
2004-07,34576.569,
2004-10,34164.865,
2005-01,40862.991,
2005-04,39981.582,
2005-07,38325.311,
2005-10,35338.101,
2006-01,42541.297,
2006-04,38111.015,
2006-07,37652.158,
2006-10,41381.530,
2007-01,48988.856,
2007-04,45895.465,
2007-07,46183.976,
2007-10,47343.449,
2008-01,49529.929,
2008-04,47766.798,
2008-07,39405.292,
2008-10,29826.412,
2009-01,25453.785,
2009-04,29150.466,
2009-07,31998.651,
2009-10,34541.168,
2010-01,33797.518,
2010-04,34980.326,
2010-07,34482.706,
2010-10,35724.420,
2011-01,37932.484,
2011-04,33356.810,
2011-07,36212.839,
2011-10,31649.662,
2012-01,41179.812,
2012-04,34124.617,
2012-07,37604.491,
2012-10,31908.345,
2013-01,41676.599,
2013-04,39358.290,
2013-07,36741.633,
2013-10,34546.698,
2014-01,42483.143,Provisional value
2014-04,38346.130,Provisional value
2014-07,46155.286,Provisional value
