"",BBK01.OEAM10O,BBK01.OEAM10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:11,
2002-01,0.460,
2002-04,0.495,
2002-07,0.514,
2002-10,0.526,
2003-01,0.586,
2003-04,0.615,
2003-07,0.622,
2003-10,0.373,
2004-01,0.433,
2004-04,0.017,
2004-07,0.038,
2004-10,-0.191,
2005-01,1.305,
2005-04,1.625,
2005-07,1.298,
2005-10,1.164,
2006-01,1.016,
2006-04,0.968,
2006-07,0.975,
2006-10,1.002,
2007-01,1.004,
2007-04,0.960,
2007-07,0.880,
2007-10,0.888,
2008-01,0.888,
2008-04,0.878,
2008-07,0.892,
2008-10,0.880,
2009-01,0.873,
2009-04,0.851,
2009-07,0.852,
2009-10,1.917,
2010-01,1.839,
2010-04,1.814,
2010-07,1.784,
2010-10,1.740,
2011-01,1.709,
2011-04,1.681,
2011-07,1.660,
2011-10,1.629,
2012-01,1.085,
2012-04,1.042,
2012-07,1.068,
2012-10,1.009,
2013-01,1.022,
2013-04,0.926,
2013-07,0.536,
2013-10,0.523,
2014-01,0.520,
2014-04,0.469,
2014-07,0.452,
