"",BBK01.OEGI06I,BBK01.OEGI06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:09,
2002-01,0.029,
2002-04,0.026,
2002-07,0.026,
2002-10,0.025,
2003-01,0.022,
2003-04,0.020,
2003-07,0.051,
2003-10,0.049,
2004-01,0.046,
2004-04,0.043,
2004-07,0.042,
2004-10,0.039,
2005-01,0.037,
2005-04,0.034,
2005-07,0.030,
2005-10,0.026,
2006-01,0.020,
2006-04,0.016,
2006-07,0.014,
2006-10,0.012,
2007-01,0.012,
2007-04,0.011,
2007-07,0.011,
2007-10,0.005,
2008-01,0.005,
2008-04,0.004,
2008-07,0.004,
2008-10,0.004,
2009-01,0.003,
2009-04,0.002,
2009-07,0.002,
2009-10,0.002,
2010-01,0.002,
2010-04,0.001,
2010-07,0.001,
2010-10,0.001,
2011-01,0.001,
2011-04,0.001,
2011-07,0.001,
2011-10,0.001,
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
