"",BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.KR.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:08,
1991-01,-29.720,
1991-04,-71.482,
1991-07,-0.935,
1991-10,-74.627,
1992-01,-23.443,
1992-04,-146.009,
1992-07,-10.376,
1992-10,-134.382,
1993-01,26.447,
1993-04,-203.141,
1993-07,-6.000,
1993-10,283.007,
1994-01,-185.905,
1994-04,17.282,
1994-07,27.482,
1994-10,64.137,
1995-01,-400.081,
1995-04,164.170,
1995-07,98.788,
1995-10,77.491,
1996-01,-356.478,
1996-04,139.459,
1996-07,219.726,
1996-10,18.347,
1997-01,-146.162,
1997-04,-10.688,
1997-07,77.369,
1997-10,-978.160,
1998-01,142.782,
1998-04,497.484,
1998-07,946.779,
1998-10,342.676,
1999-01,1013.455,
1999-04,1534.714,
1999-07,913.198,
1999-10,734.935,
2000-01,866.934,
2000-04,1374.366,
2000-07,517.736,
2000-10,1007.552,
2001-01,636.875,
2001-04,214.408,
2001-07,139.309,
2001-10,241.911,
2002-01,273.901,
2002-04,-323.934,
2002-07,149.770,
2002-10,-109.680,
2003-01,-860.544,
2003-04,456.853,
2003-07,500.628,
2003-10,-96.377,
2004-01,-467.818,
2004-04,-910.336,
2004-07,867.152,
2004-10,862.657,
2005-01,744.149,
2005-04,-11.103,
2005-07,848.006,
2005-10,80.959,
2006-01,303.476,
2006-04,701.263,
2006-07,282.111,
2006-10,796.143,
2007-01,400.327,
2007-04,498.837,
2007-07,752.313,
2007-10,249.161,
2008-01,79.686,
2008-04,-566.784,
2008-07,-541.822,
2008-10,-1929.105,
2009-01,753.960,
2009-04,134.250,
2009-07,-666.738,
2009-10,-368.697,
2010-01,2002.075,
2010-04,491.749,
2010-07,-34.361,
2010-10,19.749,
2011-01,812.151,
2011-04,-111.441,
2011-07,-218.052,
2011-10,884.520,
2012-01,-466.299,
2012-04,-541.381,
2012-07,941.951,
2012-10,949.699,
2013-01,264.623,
2013-04,-323.643,
2013-07,962.653,
2013-10,-98.879,
2014-01,-212.857,Provisional value
2014-04,-255.974,Provisional value
2014-07,517.914,Provisional value
2014-10,-1152.164,Provisional value
