"",BBSF2.M.1.S.I0122.SON01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.SON01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:41,
2009-09,181,
2009-10,181,
2009-11,189,
2009-12,295,
2010-01,296,
2010-02,317,
2010-03,318,
2010-04,343,
2010-05,344,
2010-06,345,
2010-07,878,
2010-08,866,
2010-09,350,
2010-10,423,
2010-11,424,
2010-12,425,
2011-01,424,
2011-02,444,
2011-03,444,
2011-04,480,
2011-05,608,
2011-06,609,
2011-07,611,
2011-08,663,
2011-09,681,
2011-10,895,
2011-11,1902,
2011-12,1967,
2012-01,2119,
2012-02,2168,
2012-03,1811,
2012-04,1485,
2012-05,1237,
2012-06,1117,
2012-07,1202,
2012-08,1201,
2012-09,1229,
2012-10,1127,
2012-11,1137,
2012-12,1161,
2013-01,1175,
2013-02,1177,
2013-03,1214,
2013-04,1227,
2013-05,1229,
2013-06,1257,
2013-07,1271,
2013-08,1271,
2013-09,1317,
2013-10,1328,
2013-11,1330,
2013-12,1319,
2014-01,1320,
2014-02,1289,
2014-03,1364,
2014-04,1383,
2014-05,1442,
2014-06,1461,
2014-07,1462,
2014-08,6023,
2014-09,6078,
2014-10,6107,
2014-11,6634,
