"",BBSF2.M.1.T.00000.GEM01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed securities funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:35,
2009-09,40396,
2009-10,39244,
2009-11,39899,
2009-12,42014,
2010-01,40909,
2010-02,41406,
2010-03,44739,
2010-04,43770,
2010-05,40919,
2010-06,40484,
2010-07,41557,
2010-08,40752,
2010-09,42225,
2010-10,44578,
2010-11,44423,
2010-12,48138,
2011-01,48883,
2011-02,49498,
2011-03,48245,
2011-04,49390,
2011-05,48379,
2011-06,47524,
2011-07,46061,
2011-08,39218,
2011-09,36925,
2011-10,40139,
2011-11,36717,
2011-12,37205,
2012-01,39226,
2012-02,41195,
2012-03,41445,
2012-04,41753,
2012-05,38725,
2012-06,39443,
2012-07,41316,
2012-08,41669,
2012-09,42575,
2012-10,42876,
2012-11,44082,
2012-12,45060,
2013-01,47352,
2013-02,47744,
2013-03,48777,
2013-04,50162,
2013-05,51703,
2013-06,49448,
2013-07,51840,
2013-08,51432,
2013-09,53744,
2013-10,56486,
2013-11,57388,
2013-12,56301,
2014-01,55089,
2014-02,57421,
2014-03,57587,
2014-04,58623,
2014-05,60666,
2014-06,59973,
2014-07,59546,
2014-08,62222,
2014-09,62659,
2014-10,62224,
2014-11,63354,
