"",BBFN1.M.DE.N.1.L.TH.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TH.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:38,
1994-12,0.393,
1995-01,0.365,
1995-02,0.350,
1995-03,0.369,
1995-04,0.387,
1995-05,0.357,
1995-06,0.388,
1995-07,0.452,
1995-08,0.488,
1995-09,0.499,
1995-10,0.479,
1995-11,0.552,
1995-12,0.552,
1996-01,0.567,
1996-02,0.582,
1996-03,0.677,
1996-04,0.665,
1996-05,0.701,
1996-06,0.660,
1996-07,0.676,
1996-08,0.756,
1996-09,0.753,
1996-10,0.760,
1996-11,0.713,
1996-12,0.634,
1997-01,0.637,
1997-02,0.616,
1997-03,0.616,
1997-04,0.606,
1997-05,0.554,
1997-06,0.541,
1997-07,0.558,
1997-08,0.557,
1997-09,0.563,
1997-10,0.575,
1997-11,0.545,
1997-12,0.535,
1998-01,0.554,
1998-02,0.554,
1998-03,0.564,
1998-04,0.528,
1998-05,0.552,
1998-06,0.604,
1998-07,0.561,
1998-08,0.539,
1998-09,0.473,
1998-10,0.461,
1998-11,0.484,
1998-12,0.397,
1999-01,0.466,
1999-02,0.469,
1999-03,0.467,
1999-04,0.380,
1999-05,0.457,
1999-06,0.411,
1999-07,0.411,
1999-08,0.415,
1999-09,0.371,
1999-10,0.361,
1999-11,0.363,
1999-12,0.372,
2000-01,0.362,
2000-02,0.366,
2000-03,0.376,
2000-04,0.375,
2000-05,0.389,
2000-06,0.401,
2000-07,0.409,
2000-08,0.400,
2000-09,0.387,
2000-10,0.411,
2000-11,0.435,
2000-12,0.449,
2001-01,0.451,
2001-02,0.484,
2001-03,0.491,
2001-04,0.454,
2001-05,0.501,
2001-06,0.513,
2001-07,0.534,
2001-08,0.541,
2001-09,0.537,
2001-10,0.517,
2001-11,0.466,
2001-12,0.468,
2002-01,0.425,
2002-02,0.431,
2002-03,0.518,
2002-04,0.519,
2002-05,0.505,
2002-06,0.589,
2002-07,0.597,
2002-08,0.553,
2002-09,0.574,
2002-10,0.605,
2002-11,0.623,
2002-12,0.565,
2003-01,0.611,
2003-02,0.514,
2003-03,0.526,
2003-04,0.524,
2003-05,0.521,
2003-06,0.559,
2003-07,0.526,
2003-08,0.496,
2003-09,0.485,
2003-10,0.463,
2003-11,0.472,
2003-12,0.470,
2004-01,0.453,
2004-02,0.460,
2004-03,0.492,
2004-04,0.480,
2004-05,0.464,
2004-06,0.474,
2004-07,0.484,
2004-08,0.503,
2004-09,0.273,
2004-10,0.273,
2004-11,0.268,
2004-12,0.271,
2005-01,0.258,
2005-02,0.265,
2005-03,0.288,
2005-04,0.289,
2005-05,0.302,
2005-06,0.311,
2005-07,0.328,
2005-08,0.328,
2005-09,0.387,
2005-10,0.395,
2005-11,0.404,
2005-12,0.383,
2006-01,0.365,
2006-02,0.339,
2006-03,0.346,
2006-04,0.348,
2006-05,0.383,
2006-06,0.391,
2006-07,0.382,
2006-08,0.388,
2006-09,0.408,
2006-10,0.406,
2006-11,0.391,
2006-12,0.401,
2007-01,0.405,
2007-02,0.445,
2007-03,0.479,
2007-04,0.485,
2007-05,0.494,
2007-06,0.524,
2007-07,0.523,
2007-08,0.532,
2007-09,0.572,
2007-10,0.587,
2007-11,0.538,
2007-12,0.561,
2008-01,0.579,
2008-02,0.604,
2008-03,0.625,
2008-04,0.645,
2008-05,0.595,
2008-06,0.509,
2008-07,0.492,
2008-08,0.484,
2008-09,0.388,
2008-10,0.378,
2008-11,0.388,
2008-12,0.399,
2009-01,0.369,
2009-02,0.393,
2009-03,0.385,
2009-04,0.380,
2009-05,0.438,
2009-06,0.398,
2009-07,0.419,
2009-08,0.418,
2009-09,0.437,
2009-10,0.446,
2009-11,0.448,
2009-12,0.335,
2010-01,0.342,
2010-02,0.765,
2010-03,0.352,
2010-04,0.397,
2010-05,0.330,
2010-06,0.342,
2010-07,0.330,
2010-08,0.353,
2010-09,0.345,
2010-10,0.335,
2010-11,0.318,
2010-12,0.335,
2011-01,0.342,
2011-02,0.359,
2011-03,0.397,
2011-04,0.399,
2011-05,0.438,
2011-06,0.465,
2011-07,0.465,
2011-08,0.489,
2011-09,0.511,
2011-10,0.537,
2011-11,0.505,
2011-12,0.474,
2012-01,0.475,
2012-02,0.496,
2012-03,0.517,
2012-04,0.509,
2012-05,0.523,
2012-06,0.507,
2012-07,0.537,
2012-08,0.523,
2012-09,0.671,
2012-10,0.643,
2012-11,0.683,
2012-12,0.830,
2013-01,0.826,
2013-02,0.846,
2013-03,0.910,
2013-04,0.916,
2013-05,0.888,
2013-06,0.913,
2013-07,0.877,
2013-08,0.908,
2013-09,0.957,
2013-10,0.959,
2013-11,0.979,
2013-12,1.022,
2014-01,1.013,
2014-02,1.038,
2014-03,1.055,
2014-04,1.015,
2014-05,1.009,
2014-06,0.988,
2014-07,1.035,
2014-08,1.077,
2014-09,0.747,
2014-10,0.759,
2014-11,0.707,
2014-12,0.716,
