"",BBDE1.Q.DE.Y.LCC1.A2N100000.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.A2N100000.A.L.I08.A_FLAGS
"","Index of non-wage costs / Germany / Mining and quarrying, manufacturing and service activities (B-S) / Calendar and seasonally adjusted",
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:17,
1996-01,88.2,
1996-04,86.2,
1996-07,87.8,
1996-10,89.0,
1997-01,90.0,
1997-04,89.8,
1997-07,90.0,
1997-10,90.7,
1998-01,90.1,
1998-04,91.2,
1998-07,92.2,
1998-10,93.4,
1999-01,91.9,
1999-04,93.5,
1999-07,93.4,
1999-10,94.2,
2000-01,96.2,
2000-04,95.9,
2000-07,97.8,
2000-10,99.1,
2001-01,98.6,
2001-04,99.1,
2001-07,99.2,
2001-10,100.0,
2002-01,102.6,
2002-04,101.0,
2002-07,101.8,
2002-10,101.8,
2003-01,104.4,
2003-04,104.8,
2003-07,105.5,
2003-10,104.5,
2004-01,104.5,
2004-04,105.4,
2004-07,104.9,
2004-10,103.7,
2005-01,103.7,
2005-04,104.1,
2005-07,101.5,
2005-10,101.5,
2006-01,103.0,
2006-04,101.6,
2006-07,102.1,
2006-10,102.5,
2007-01,100.3,
2007-04,99.1,
2007-07,98.9,
2007-10,99.2,
2008-01,98.4,
2008-04,98.6,
2008-07,100.9,
2008-10,102.1,
2009-01,102.3,
2009-04,103.5,
2009-07,104.1,
2009-10,103.8,
2010-01,105.5,
2010-04,106.5,
2010-07,107.4,
2010-10,107.4,
2011-01,108.8,
2011-04,109.8,
2011-07,109.4,
2011-10,110.2,
2012-01,110.7,
2012-04,111.4,
2012-07,112.2,
2012-10,113.2,
2013-01,116.6,
2013-04,113.3,
2013-07,112.7,
2013-10,114.4,
2014-01,113.9,
2014-04,116.4,
2014-07,116.6,
