"",BBK01.OEYB18I,BBK01.OEYB18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:44,
2002-01,0.474,
2002-04,0.443,
2002-07,0.472,
2002-10,0.453,
2003-01,0.486,
2003-04,0.441,
2003-07,0.853,
2003-10,0.799,
2004-01,0.797,
2004-04,0.798,
2004-07,0.847,
2004-10,0.803,
2005-01,0.796,
2005-04,0.766,
2005-07,0.866,
2005-10,0.786,
2006-01,0.776,
2006-04,0.809,
2006-07,0.879,
2006-10,0.724,
2007-01,0.711,
2007-04,0.752,
2007-07,0.810,
2007-10,0.821,
2008-01,0.829,
2008-04,0.876,
2008-07,0.909,
2008-10,0.943,
2009-01,0.865,
2009-04,0.919,
2009-07,0.946,
2009-10,1.026,
2010-01,0.942,
2010-04,0.970,
2010-07,0.996,
2010-10,1.047,
2011-01,1.007,
2011-04,1.038,
2011-07,1.084,
2011-10,1.116,
2012-01,1.103,
2012-04,1.148,
2012-07,1.213,
2012-10,1.234,
2013-01,1.161,
2013-04,1.233,
2013-07,1.292,
2013-10,1.509,
2014-01,1.349,
2014-04,1.366,
2014-07,1.464,
