"",BBFN1.M.DE.N.1.A.RO.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RO.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Romania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:05,
1994-07,0.164,
1994-08,0.189,
1994-09,0.172,
1994-10,0.182,
1994-11,0.179,
1994-12,0.187,
1995-01,0.181,
1995-02,0.174,
1995-03,0.174,
1995-04,0.188,
1995-05,0.209,
1995-06,0.269,
1995-07,0.279,
1995-08,0.283,
1995-09,0.289,
1995-10,0.247,
1995-11,0.286,
1995-12,0.296,
1996-01,0.274,
1996-02,0.267,
1996-03,0.259,
1996-04,0.241,
1996-05,0.251,
1996-06,0.261,
1996-07,0.271,
1996-08,0.271,
1996-09,0.265,
1996-10,0.264,
1996-11,0.275,
1996-12,0.290,
1997-01,0.276,
1997-02,0.265,
1997-03,0.273,
1997-04,0.277,
1997-05,0.280,
1997-06,0.292,
1997-07,0.282,
1997-08,0.284,
1997-09,0.284,
1997-10,0.293,
1997-11,0.287,
1997-12,0.320,
1998-01,0.301,
1998-02,0.319,
1998-03,0.323,
1998-04,0.330,
1998-05,0.321,
1998-06,0.323,
1998-07,0.325,
1998-08,0.333,
1998-09,0.328,
1998-10,0.324,
1998-11,0.327,
1998-12,0.335,
1999-01,0.332,
1999-02,0.322,
1999-03,0.324,
1999-04,0.310,
1999-05,0.325,
1999-06,0.328,
1999-07,0.316,
1999-08,0.333,
1999-09,0.344,
1999-10,0.342,
1999-11,0.349,
1999-12,0.330,
2000-01,0.332,
2000-02,0.317,
2000-03,0.347,
2000-04,0.355,
2000-05,0.347,
2000-06,0.356,
2000-07,0.359,
2000-08,0.359,
2000-09,0.375,
2000-10,0.393,
2000-11,0.426,
2000-12,0.390,
2001-01,0.392,
2001-02,0.409,
2001-03,0.416,
2001-04,0.444,
2001-05,0.437,
2001-06,0.457,
2001-07,0.443,
2001-08,0.432,
2001-09,0.440,
2001-10,0.445,
2001-11,0.468,
2001-12,0.475,
2002-01,0.430,
2002-02,0.421,
2002-03,0.399,
2002-04,0.396,
2002-05,0.389,
2002-06,0.425,
2002-07,0.408,
2002-08,0.397,
2002-09,0.394,
2002-10,0.393,
2002-11,0.412,
2002-12,0.416,
2003-01,0.399,
2003-02,0.387,
2003-03,0.405,
2003-04,0.405,
2003-05,0.404,
2003-06,0.396,
2003-07,0.399,
2003-08,0.416,
2003-09,0.437,
2003-10,0.449,
2003-11,0.455,
2003-12,0.405,
2004-01,0.397,
2004-02,0.416,
2004-03,0.446,
2004-04,0.473,
2004-05,0.487,
2004-06,0.458,
2004-07,0.449,
2004-08,0.459,
2004-09,0.432,
2004-10,0.447,
2004-11,0.460,
2004-12,0.420,
2005-01,0.413,
2005-02,0.427,
2005-03,0.441,
2005-04,0.515,
2005-05,0.546,
2005-06,0.546,
2005-07,0.560,
2005-08,0.554,
2005-09,0.624,
2005-10,0.657,
2005-11,0.663,
2005-12,0.613,
2006-01,0.643,
2006-02,0.667,
2006-03,0.696,
2006-04,0.734,
2006-05,0.777,
2006-06,0.797,
2006-07,0.867,
2006-08,0.866,
2006-09,0.886,
2006-10,0.907,
2006-11,0.981,
2006-12,0.931,
2007-01,0.903,
2007-02,0.975,
2007-03,0.983,
2007-04,1.045,
2007-05,1.054,
2007-06,1.081,
2007-07,1.088,
2007-08,1.039,
2007-09,1.072,
2007-10,1.079,
2007-11,1.137,
2007-12,1.045,
2008-01,1.070,
2008-02,1.129,
2008-03,1.178,
2008-04,1.228,
2008-05,1.220,
2008-06,1.249,
2008-07,1.249,
2008-08,1.239,
2008-09,1.298,
2008-10,1.307,
2008-11,1.319,
2008-12,1.152,
2009-01,1.115,
2009-02,1.145,
2009-03,1.149,
2009-04,1.128,
2009-05,1.142,
2009-06,1.162,
2009-07,1.113,
2009-08,1.106,
2009-09,1.143,
2009-10,1.137,
2009-11,1.170,
2009-12,1.151,
2010-01,1.119,
2010-02,1.150,
2010-03,1.153,
2010-04,1.089,
2010-05,1.113,
2010-06,1.140,
2010-07,1.159,
2010-08,1.154,
2010-09,1.121,
2010-10,1.182,
2010-11,1.226,
2010-12,1.126,
2011-01,1.077,
2011-02,1.095,
2011-03,1.165,
2011-04,1.170,
2011-05,1.209,
2011-06,1.240,
2011-07,1.181,
2011-08,1.152,
2011-09,1.182,
2011-10,1.233,
2011-11,1.258,
2011-12,1.207,
2012-01,1.187,
2012-02,1.248,
2012-03,1.255,
2012-04,1.275,
2012-05,1.342,
2012-06,1.428,
2012-07,1.451,
2012-08,1.405,
2012-09,1.444,
2012-10,1.478,
2012-11,1.461,
2012-12,1.480,
2013-01,1.461,
2013-02,1.529,
2013-03,1.602,
2013-04,1.615,
2013-05,1.558,
2013-06,1.597,
2013-07,1.542,
2013-08,1.507,
2013-09,1.506,
2013-10,1.533,
2013-11,1.564,
2013-12,1.499,
2014-01,1.451,
2014-02,1.491,
2014-03,1.592,
2014-04,1.526,
2014-05,1.505,
2014-06,1.528,
2014-07,1.473,
2014-08,1.462,
2014-09,1.481,
2014-10,1.423,
2014-11,1.449,
2014-12,1.435,
