"",BBK01.OEHB02R,BBK01.OEHB02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:55,
2002-01,0.736,
2002-04,0.746,
2002-07,0.758,
2002-10,0.743,
2003-01,0.779,
2003-04,0.773,
2003-07,0.743,
2003-10,0.747,
2004-01,0.734,
2004-04,0.722,
2004-07,0.703,
2004-10,0.719,
2005-01,0.688,
2005-04,0.697,
2005-07,0.681,
2005-10,0.660,
2006-01,0.627,
2006-04,0.605,
2006-07,0.587,
2006-10,0.569,
2007-01,0.576,
2007-04,0.590,
2007-07,0.580,
2007-10,0.557,
2008-01,0.519,
2008-04,0.479,
2008-07,0.455,
2008-10,0.458,
2009-01,0.462,
2009-04,0.433,
2009-07,0.418,
2009-10,0.402,
2010-01,0.371,
2010-04,0.365,
2010-07,0.354,
2010-10,0.338,
2011-01,0.365,
2011-04,0.387,
2011-07,0.353,
2011-10,0.345,
2012-01,0.384,
2012-04,0.380,
2012-07,0.362,
2012-10,0.393,
2013-01,0.415,
2013-04,0.443,
2013-07,0.430,
2013-10,0.455,
2014-01,0.488,
2014-04,0.525,
2014-07,0.506,
