"",BBK01.OEAK01L,BBK01.OEAK01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:06,
2002-01,9.077,
2002-04,9.750,
2002-07,10.415,
2002-10,10.810,
2003-01,11.964,
2003-04,12.415,
2003-07,12.370,
2003-10,12.350,
2004-01,13.228,
2004-04,13.486,
2004-07,14.016,
2004-10,14.714,
2005-01,14.776,
2005-04,15.303,
2005-07,15.603,
2005-10,15.620,
2006-01,15.623,
2006-04,16.038,
2006-07,16.639,
2006-10,16.541,
2007-01,16.710,
2007-04,17.352,
2007-07,17.625,
2007-10,18.344,
2008-01,18.277,
2008-04,18.418,
2008-07,19.947,
2008-10,20.073,
2009-01,20.017,
2009-04,18.890,
2009-07,20.396,
2009-10,20.773,
2010-01,20.895,
2010-04,22.596,
2010-07,22.795,
2010-10,22.787,
2011-01,23.435,
2011-04,25.739,
2011-07,26.009,
2011-10,24.796,
2012-01,25.606,
2012-04,25.821,
2012-07,26.053,
2012-10,26.579,
2013-01,26.653,
2013-04,26.865,
2013-07,27.813,
2013-10,26.334,
2014-01,26.660,
2014-04,28.068,
2014-07,28.135,
