"",BBK01.OEYJ03P,BBK01.OEYJ03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:45,
2002-01,1.520,
2002-04,1.537,
2002-07,1.576,
2002-10,1.667,
2003-01,1.845,
2003-04,1.910,
2003-07,1.869,
2003-10,1.881,
2004-01,1.959,
2004-04,1.953,
2004-07,2.100,
2004-10,2.253,
2005-01,2.485,
2005-04,2.478,
2005-07,2.566,
2005-10,2.527,
2006-01,2.645,
2006-04,2.580,
2006-07,2.749,
2006-10,2.708,
2007-01,2.753,
2007-04,3.011,
2007-07,3.009,
2007-10,2.883,
2008-01,2.908,
2008-04,3.022,
2008-07,3.024,
2008-10,2.797,
2009-01,2.919,
2009-04,3.046,
2009-07,3.258,
2009-10,2.806,
2010-01,2.884,
2010-04,2.849,
2010-07,2.959,
2010-10,2.868,
2011-01,3.295,
2011-04,3.509,
2011-07,3.647,
2011-10,3.756,
2012-01,3.508,
2012-04,3.441,
2012-07,3.626,
2012-10,3.200,
2013-01,3.410,
2013-04,3.128,
2013-07,3.017,
2013-10,2.461,
2014-01,2.851,
2014-04,2.880,
2014-07,2.608,
