"",BBK01.OEBB07V,BBK01.OEBB07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:11,
2002-01,2.395,
2002-04,2.517,
2002-07,2.548,
2002-10,2.768,
2003-01,2.782,
2003-04,1.694,
2003-07,1.740,
2003-10,1.780,
2004-01,1.662,
2004-04,1.695,
2004-07,1.718,
2004-10,1.575,
2005-01,1.825,
2005-04,1.821,
2005-07,1.846,
2005-10,1.843,
2006-01,1.838,
2006-04,1.875,
2006-07,1.916,
2006-10,2.081,
2007-01,2.135,
2007-04,2.184,
2007-07,2.204,
2007-10,1.948,
2008-01,2.036,
2008-04,2.098,
2008-07,2.121,
2008-10,2.256,
2009-01,2.283,
2009-04,2.456,
2009-07,2.424,
2009-10,2.503,
2010-01,2.301,
2010-04,2.274,
2010-07,2.178,
2010-10,2.110,
2011-01,2.075,
2011-04,2.039,
2011-07,2.024,
2011-10,1.963,
2012-01,1.917,
2012-04,1.863,
2012-07,1.807,
2012-10,1.782,
2013-01,1.751,
2013-04,1.755,
2013-07,1.723,
2013-10,1.767,
2014-01,1.743,
2014-04,1.481,
2014-07,1.437,
