"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F81.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F81.T._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Trade credits and advances / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:50,
1991-01,639.626,
1991-02,535.834,
1991-03,2035.453,
1991-04,1599.832,
1991-05,-507.202,
1991-06,2633.664,
1991-07,-979.124,
1991-08,-1417.812,
1991-09,1842.696,
1991-10,1602.389,
1991-11,589.008,
1991-12,-3833.667,
1992-01,-3277.381,
1992-02,-2480.788,
1992-03,-2383.131,
1992-04,-246.443,
1992-05,-1038.945,
1992-06,234.172,
1992-07,-1175.971,
1992-08,-2341.206,
1992-09,962.763,
1992-10,508.224,
1992-11,-421.305,
1992-12,-2334.559,
1993-01,-2787.563,
1993-02,782.788,
1993-03,2628.552,
1993-04,-106.860,
1993-05,-655.987,
1993-06,941.288,
1993-07,-2139.757,
1993-08,-1952.112,
1993-09,2067.664,
1993-10,1009.801,
1993-11,143.162,
1993-12,-1472.009,
1994-01,-827.782,
1994-02,426.417,
1994-03,3428.723,
1994-04,-27.098,
1994-05,866.128,
1994-06,128.846,
1994-07,-754.667,
1994-08,-1439.287,
1994-09,2083.514,
1994-10,1698.000,
1994-11,1875.419,
1994-12,-772.051,
1995-01,227.058,
1995-02,-78.148,
1995-03,2082.324,
1995-04,213.343,
1995-05,837.557,
1995-06,1255.226,
1995-07,-1271.153,
1995-08,-1131.038,
1995-09,2151.936,
1995-10,-1142.560,
1995-11,1949.040,
1995-12,-1148.190,
1996-01,-986.921,
1996-02,895.740,
1996-03,1086.535,
1996-04,-160.286,
1996-05,197.218,
1996-06,910.675,
1996-07,-1057.594,
1996-08,-972.525,
1996-09,1245.630,
1996-10,275.624,
1996-11,806.855,
1996-12,-1228.901,
1997-01,-562.079,
1997-02,1439.135,
1997-03,1609.347,
1997-04,649.955,
1997-05,106.825,
1997-06,675.046,
1997-07,-992.917,
1997-08,-225.692,
1997-09,596.036,
1997-10,1223.623,
1997-11,883.211,
1997-12,-1125.210,
1998-01,-328.665,
1998-02,2120.194,
1998-03,670.825,
1998-04,638.123,
1998-05,-140.075,
1998-06,-374.124,
1998-07,-675.845,
1998-08,-1483.445,
1998-09,877.667,
1998-10,244.184,
1998-11,-614.847,
1998-12,-3215.344,
1999-01,-3035.286,
1999-02,844.447,
1999-03,1528.829,
1999-04,-1078.591,
1999-05,921.105,
1999-06,1423.513,
1999-07,72.812,
1999-08,-708.580,
1999-09,1606.296,
1999-10,1284.152,
1999-11,1399.186,
1999-12,-2287.857,
2000-01,458.323,
2000-02,1099.786,
2000-03,2900.720,
2000-04,435.570,
2000-05,774.541,
2000-06,150.717,
2000-07,294.703,
2000-08,-60.448,
2000-09,1672.735,
2000-10,1402.536,
2000-11,1187.943,
2000-12,-1812.607,
2001-01,-1144.534,
2001-02,991.393,
2001-03,1255.061,
2001-04,17.095,
2001-05,-813.432,
2001-06,1594.517,
2001-07,-2541.275,
2001-08,-694.844,
2001-09,2221.083,
2001-10,-201.693,
2001-11,-22.543,
2001-12,-2113.026,
2002-01,-2399.690,
2002-02,553.426,
2002-03,2086.662,
2002-04,747.295,
2002-05,254.491,
2002-06,1414.008,
2002-07,-1962.498,
2002-08,-1309.851,
2002-09,1359.757,
2002-10,66.873,
2002-11,1888.441,
2002-12,-2158.086,
2003-01,-1207.665,
2003-02,1187.596,
2003-03,233.576,
2003-04,-212.489,
2003-05,-727.801,
2003-06,105.817,
2003-07,-1003.168,
2003-08,-629.956,
2003-09,641.585,
2003-10,391.288,
2003-11,1600.327,
2003-12,-2713.443,
2004-01,-960.989,
2004-02,876.603,
2004-03,1777.269,
2004-04,-21.916,
2004-05,1475.594,
2004-06,376.625,
2004-07,-1180.133,
2004-08,-1575.858,
2004-09,1769.880,
2004-10,1803.597,
2004-11,424.098,
2004-12,-3226.151,
2005-01,-1672.154,
2005-02,1189.199,
2005-03,2187.710,
2005-04,1225.046,
2005-05,172.526,
2005-06,2187.790,
2005-07,-1023.717,
2005-08,-2132.942,
2005-09,3280.934,
2005-10,536.659,
2005-11,2281.577,
2005-12,-1179.721,
2006-01,-727.193,
2006-02,1991.714,
2006-03,1733.641,
2006-04,-33.781,
2006-05,-492.603,
2006-06,1469.053,
2006-07,-1041.822,
2006-08,-2089.923,
2006-09,3157.805,
2006-10,556.059,
2006-11,2002.642,
