"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.SE.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.SE.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Sweden,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:42,
2009-09,8557,
2009-10,8538,
2009-11,8663,
2009-12,8639,
2010-01,8520,
2010-02,8968,
2010-03,9488,
2010-04,9693,
2010-05,9669,
2010-06,9815,
2010-07,9899,
2010-08,10302,
2010-09,10273,
2010-10,10303,
2010-11,10270,
2010-12,10285,
2011-01,10220,
2011-02,10446,
2011-03,10351,
2011-04,10395,
2011-05,11064,
2011-06,11096,
2011-07,11312,
2011-08,11196,
2011-09,11109,
2011-10,11003,
2011-11,10852,
2011-12,10926,
2012-01,11405,
2012-02,11622,
2012-03,12021,
2012-04,12166,
2012-05,12343,
2012-06,12532,
2012-07,13279,
2012-08,13230,
2012-09,13148,
2012-10,12789,
2012-11,12836,
2012-12,12812,
2013-01,12285,
2013-02,12552,
2013-03,12871,
2013-04,13073,
2013-05,13012,
2013-06,12633,
2013-07,12432,
2013-08,12457,
2013-09,12376,
2013-10,12449,
2013-11,12376,
2013-12,12163,
2014-01,12240,
2014-02,12471,
2014-03,12582,
2014-04,12503,
2014-05,12395,
2014-06,12243,
2014-07,12222,
2014-08,12288,
2014-09,12428,
2014-10,12398,
2014-11,12443,
