"",BBK01.OEXB07I,BBK01.OEXB07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:10,
2002-01,2.182,
2002-04,2.236,
2002-07,2.259,
2002-10,2.137,
2003-01,2.040,
2003-04,2.499,
2003-07,1.635,
2003-10,1.635,
2004-01,1.563,
2004-04,1.568,
2004-07,1.561,
2004-10,1.833,
2005-01,2.108,
2005-04,2.144,
2005-07,2.279,
2005-10,1.953,
2006-01,1.969,
2006-04,2.004,
2006-07,1.882,
2006-10,2.083,
2007-01,2.033,
2007-04,2.061,
2007-07,2.098,
2007-10,1.952,
2008-01,2.016,
2008-04,2.169,
2008-07,2.275,
2008-10,2.431,
2009-01,2.437,
2009-04,2.437,
2009-07,2.424,
2009-10,2.525,
2010-01,2.555,
2010-04,2.574,
2010-07,2.504,
2010-10,2.515,
2011-01,2.495,
2011-04,2.499,
2011-07,2.461,
2011-10,2.339,
2012-01,2.404,
2012-04,2.086,
2012-07,2.164,
2012-10,2.155,
2013-01,2.141,
2013-04,1.992,
2013-07,1.992,
2013-10,1.993,
2014-01,1.929,
2014-04,1.741,
2014-07,1.721,
