"",BBFN1.M.DE.N.1.L.JP.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1987-02,0.216,
1987-03,0.213,
1987-04,0.210,
1987-05,0.200,
1987-06,0.190,
1987-07,0.189,
1987-08,0.185,
1987-09,0.184,
1987-10,0.190,
1987-11,0.188,
1987-12,0.187,
1988-01,0.190,
1988-02,0.186,
1988-03,0.206,
1988-04,0.203,
1988-05,0.201,
1988-06,0.199,
1988-07,0.205,
1988-08,0.200,
1988-09,0.198,
1988-10,0.223,
1988-11,0.230,
1988-12,0.221,
1989-01,0.217,
1989-02,0.218,
1989-03,0.212,
1989-04,0.209,
1989-05,0.208,
1989-06,0.205,
1989-07,0.208,
1989-08,0.251,
1989-09,0.238,
1989-10,0.234,
1989-11,0.232,
1989-12,0.236,
1990-01,0.226,
1990-02,0.230,
1990-03,0.228,
1990-04,0.224,
1990-05,0.233,
1990-06,0.233,
1990-07,0.242,
1990-08,0.248,
1990-09,0.281,
1990-10,0.279,
1990-11,0.277,
1990-12,0.277,
1991-01,0.307,
1991-02,0.379,
1991-03,0.467,
1991-04,0.507,
1991-05,0.510,
1991-06,0.510,
1991-07,0.536,
1991-08,0.538,
1991-09,0.524,
1991-10,0.529,
1991-11,0.517,
1991-12,0.524,
1992-01,0.508,
1992-02,0.554,
1992-03,0.598,
1992-04,0.603,
1992-05,0.601,
1992-06,0.599,
1992-07,0.555,
1992-08,0.572,
1992-09,0.767,
1992-10,0.813,
1992-11,0.821,
1992-12,0.919,
1993-01,1.081,
1993-02,1.078,
1993-03,1.047,
1993-04,1.049,
1993-05,1.053,
1993-06,1.062,
1993-07,1.072,
1993-08,1.125,
1993-09,1.118,
1993-10,1.113,
1993-11,1.138,
1993-12,1.159,
1994-01,1.143,
1994-02,1.143,
1994-03,1.151,
1994-04,1.165,
1994-05,1.163,
1994-06,1.182,
1994-07,1.140,
1994-08,1.156,
1994-09,1.152,
1994-10,1.147,
1994-11,1.150,
1994-12,1.145,
1995-01,1.141,
1995-02,1.105,
1995-03,1.135,
1995-04,1.106,
1995-05,1.108,
1995-06,1.121,
1995-07,1.123,
1995-08,1.120,
1995-09,1.425,
1995-10,1.496,
1995-11,1.521,
1995-12,1.486,
1996-01,1.507,
1996-02,1.485,
1996-03,1.505,
1996-04,1.488,
1996-05,1.489,
1996-06,1.473,
1996-07,1.472,
1996-08,1.465,
1996-09,1.470,
1996-10,1.470,
1996-11,1.469,
1996-12,1.483,
1997-01,1.482,
1997-02,1.480,
1997-03,1.483,
1997-04,1.484,
1997-05,1.482,
1997-06,1.485,
1997-07,1.489,
1997-08,1.486,
1997-09,1.478,
1997-10,1.470,
1997-11,1.467,
1997-12,1.470,
1998-01,1.466,
1998-02,1.422,
1998-03,1.428,
1998-04,1.410,
1998-05,1.352,
1998-06,1.349,
1998-07,1.342,
1998-08,1.338,
1998-09,1.332,
1998-10,1.317,
1998-11,1.317,
1998-12,1.146,
1999-01,1.153,
1999-02,1.109,
1999-03,0.919,
1999-04,0.920,
1999-05,0.926,
1999-06,0.922,
1999-07,0.916,
1999-08,0.872,
1999-09,0.861,
1999-10,0.882,
1999-11,0.888,
1999-12,0.898,
2000-01,0.891,
2000-02,0.862,
2000-03,0.858,
2000-04,0.858,
2000-05,0.856,
2000-06,0.857,
2000-07,0.819,
2000-08,0.820,
2000-09,0.819,
2000-10,0.827,
2000-11,0.843,
2000-12,0.890,
2001-01,0.872,
2001-02,0.968,
2001-03,0.860,
2001-04,0.863,
2001-05,0.865,
2001-06,0.855,
2001-07,0.836,
2001-08,0.829,
2001-09,0.817,
2001-10,0.816,
2001-11,1.131,
2001-12,1.117,
2002-01,1.049,
2002-02,1.037,
2002-03,0.978,
2002-04,0.951,
2002-05,0.951,
2002-06,0.948,
2002-07,0.949,
2002-08,0.956,
2002-09,0.922,
2002-10,1.213,
2002-11,1.204,
2002-12,1.170,
2003-01,1.148,
2003-02,1.381,
2003-03,1.213,
2003-04,1.215,
2003-05,1.181,
2003-06,0.941,
2003-07,0.932,
2003-08,0.918,
2003-09,0.908,
2003-10,0.929,
2003-11,0.922,
2003-12,0.871,
2004-01,0.851,
2004-02,0.839,
2004-03,0.880,
2004-04,0.861,
2004-05,0.849,
2004-06,0.886,
2004-07,0.878,
2004-08,0.881,
2004-09,0.888,
2004-10,0.931,
2004-11,0.938,
2004-12,1.006,
2005-01,0.891,
2005-02,0.862,
2005-03,0.872,
2005-04,0.897,
2005-05,0.907,
2005-06,0.917,
2005-07,0.901,
2005-08,0.900,
2005-09,0.880,
2005-10,0.869,
2005-11,0.859,
2005-12,0.848,
2006-01,0.853,
2006-02,0.862,
2006-03,0.839,
2006-04,0.645,
2006-05,0.647,
2006-06,0.634,
2006-07,0.634,
2006-08,0.629,
2006-09,0.629,
2006-10,0.628,
2006-11,0.623,
2006-12,0.597,
2007-01,0.591,
2007-02,0.591,
2007-03,0.588,
2007-04,0.583,
2007-05,0.582,
2007-06,0.573,
2007-07,0.576,
2007-08,0.577,
2007-09,0.560,
2007-10,0.557,
2007-11,0.560,
2007-12,0.549,
2008-01,0.546,
2008-02,1.373,
2008-03,1.375,
2008-04,1.368,
2008-05,1.366,
2008-06,1.406,
2008-07,1.436,
2008-08,1.449,
2008-09,1.454,
2008-10,1.497,
2008-11,1.520,
2008-12,1.817,
2009-01,1.855,
2009-02,1.832,
2009-03,0.970,
2009-04,0.972,
2009-05,1.412,
2009-06,1.458,
2009-07,1.459,
2009-08,1.527,
2009-09,1.533,
2009-10,1.518,
2009-11,1.534,
2009-12,3.139,
2010-01,3.104,
2010-02,3.140,
2010-03,3.116,
2010-04,3.118,
2010-05,3.109,
2010-06,3.146,
2010-07,3.073,
2010-08,3.056,
2010-09,3.032,
2010-10,2.996,
2010-11,3.013,
2010-12,3.017,
2011-01,2.998,
2011-02,2.999,
2011-03,2.905,
2011-04,2.526,
2011-05,2.516,
2011-06,2.513,
2011-07,2.517,
2011-08,2.548,
2011-09,2.510,
2011-10,2.467,
2011-11,2.456,
2011-12,2.446,
2012-01,2.440,
2012-02,2.427,
2012-03,2.451,
2012-04,2.500,
2012-05,2.516,
2012-06,2.531,
2012-07,2.512,
2012-08,2.509,
2012-09,2.497,
2012-10,2.553,
2012-11,2.601,
2012-12,2.586,
2013-01,2.551,
2013-02,2.539,
2013-03,2.531,
2013-04,2.758,
2013-05,3.081,
2013-06,2.927,
2013-07,2.908,
2013-08,2.900,
2013-09,2.838,
2013-10,2.835,
2013-11,3.010,
2013-12,3.001,
2014-01,3.308,
2014-02,3.331,
2014-03,2.660,
2014-04,2.790,
2014-05,2.808,
2014-06,2.938,
2014-07,2.938,
2014-08,2.943,
2014-09,2.969,
2014-10,2.985,
2014-11,2.969,
2014-12,2.970,
