"",BBFB1.Q.N.DE.S19800.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:17,
1991-01,276.135,
1991-04,272.861,
1991-07,355.895,
1991-10,414.080,
1992-01,318.231,
1992-04,348.807,
1992-07,329.799,
1992-10,432.559,
1993-01,349.809,
1993-04,358.340,
1993-07,411.758,
1993-10,443.863,
1994-01,414.119,
1994-04,420.341,
1994-07,447.131,
1994-10,452.556,
1995-01,491.126,
1995-04,466.223,
1995-07,515.352,
1995-10,607.341,
1996-01,485.020,
1996-04,518.897,
1996-07,583.754,
1996-10,747.438,
1997-01,614.873,
1997-04,655.652,
1997-07,813.597,
1997-10,695.658,
1998-01,522.097,
1998-04,685.206,
1998-07,656.931,
1998-10,632.312,
1999-01,511.943,
1999-04,642.438,
1999-07,626.287,
1999-10,675.085,
2000-01,612.329,
2000-04,633.106,
2000-07,748.593,
2000-10,781.994,
2001-01,621.559,
2001-04,757.677,
2001-07,820.744,
2001-10,789.249,
2002-01,862.760,
2002-04,881.016,
2002-07,876.217,
2002-10,929.186,
2003-01,933.241,
2003-04,911.406,
2003-07,886.027,
2003-10,949.149,
2004-01,919.961,
2004-04,1019.944,
2004-07,971.294,
2004-10,1155.593,
2005-01,1012.811,
2005-04,1296.350,
2005-07,1353.329,
2005-10,1413.230,
2006-01,1252.944,
2006-04,1366.386,
2006-07,1448.467,
2006-10,1492.144,
2007-01,1286.084,
2007-04,1336.464,
2007-07,1418.233,
2007-10,1572.953,
2008-01,1657.993,
2008-04,1589.743,
2008-07,1706.941,
2008-10,1618.356,
2009-01,1528.802,
2009-04,1454.165,
2009-07,1350.469,
2009-10,1511.537,
2010-01,1416.073,
2010-04,1749.228,
2010-07,1747.138,
2010-10,1768.103,
2011-01,1688.216,
2011-04,1818.462,
2011-07,1880.689,
2011-10,2060.140,
2012-01,1921.355,
2012-04,1942.058,
2012-07,2034.774,
2012-10,2070.553,
2013-01,1830.673,
2013-04,2061.265,
2013-07,2202.258,
2013-10,2286.708,
2014-01,1977.842,Provisional value
2014-04,2170.908,Provisional value
2014-07,2093.054,Provisional value
