"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.IE.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.IE.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:25,
2009-09,909,
2009-10,847,
2009-11,857,
2009-12,950,
2010-01,938,
2010-02,909,
2010-03,1018,
2010-04,1100,
2010-05,946,
2010-06,920,
2010-07,897,
2010-08,783,
2010-09,771,
2010-10,812,
2010-11,841,
2010-12,906,
2011-01,906,
2011-02,940,
2011-03,922,
2011-04,946,
2011-05,933,
2011-06,900,
2011-07,805,
2011-08,741,
2011-09,729,
2011-10,810,
2011-11,775,
2011-12,797,
2012-01,831,
2012-02,872,
2012-03,870,
2012-04,879,
2012-05,857,
2012-06,904,
2012-07,937,
2012-08,905,
2012-09,959,
2012-10,935,
2012-11,956,
2012-12,1001,
2013-01,1079,
2013-02,1185,
2013-03,1279,
2013-04,1246,
2013-05,1308,
2013-06,1258,
2013-07,1326,
2013-08,1378,
2013-09,1430,
2013-10,1483,
2013-11,1713,
2013-12,1754,
2014-01,1768,
2014-02,1927,
2014-03,1850,
2014-04,1789,
2014-05,1846,
2014-06,1902,
2014-07,1908,
2014-08,2020,
2014-09,1792,
2014-10,1886,
2014-11,2121,
