"",BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:51,
1991-01,39.286,
1991-04,41.761,
1991-07,40.974,
1991-10,-34.877,
1992-01,-113.906,
1992-04,-123.892,
1992-07,-128.125,
1992-10,-113.737,
1993-01,-314.932,
1993-04,-325.536,
1993-07,-306.220,
1993-10,-345.547,
1994-01,-22.082,
1994-04,-60.409,
1994-07,-24.777,
1994-10,-19.938,
1995-01,67.303,
1995-04,76.543,
1995-07,70.075,
1995-10,66.491,
1996-01,-166.563,
1996-04,-38.647,
1996-07,-32.715,
1996-10,-84.663,
1997-01,173.012,
1997-04,218.165,
1997-07,231.706,
1997-10,232.079,
1998-01,150.426,
1998-04,149.728,
1998-07,152.965,
1998-10,152.943,
1999-01,188.487,
1999-04,162.019,
1999-07,187.867,
1999-10,169.307,
2000-01,153.347,
2000-04,149.636,
2000-07,155.935,
2000-10,150.567,
2001-01,77.617,
2001-04,48.402,
2001-07,-43.952,
2001-10,-124.052,
2002-01,-29.695,
2002-04,87.056,
2002-07,-47.654,
2002-10,-88.005,
2003-01,46.337,
2003-04,-84.663,
2003-07,63.403,
2003-10,10.457,
2004-01,279.428,
2004-04,135.746,
2004-07,261.970,
2004-10,-43.131,
2005-01,194.409,
2005-04,116.368,
2005-07,67.231,
2005-10,-69.565,
2006-01,292.430,
2006-04,-69.412,
2006-07,126.072,
2006-10,-38.260,
2007-01,145.101,
2007-04,51.552,
2007-07,59.864,
2007-10,54.123,
2008-01,51.865,
2008-04,-87.071,
2008-07,-66.485,
2008-10,-218.692,
2009-01,-246.597,
2009-04,-189.415,
2009-07,-127.175,
2009-10,-189.964,
2010-01,-113.150,
2010-04,-53.541,
2010-07,61.207,
2010-10,-18.177,
2011-01,-156.389,
2011-04,110.196,
2011-07,193.391,
2011-10,-1.840,
2012-01,92.865,
2012-04,35.973,
2012-07,21.183,
2012-10,36.823,
2013-01,-417.811,
2013-04,-278.666,
2013-07,-410.284,
2013-10,-433.201,
2014-01,-199.307,Provisional value
2014-04,-377.597,Provisional value
2014-07,-255.320,Provisional value
2014-10,-400.946,Provisional value
