"",BBEX3.D.NZD.EUR.BB.AC.000,BBEX3.D.NZD.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = NZD ... / New Zealand,
unit,NZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:59:16,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,2.2229,
1999-01-05,2.2011,
1999-01-06,2.1890,
1999-01-07,2.1531,
1999-01-08,2.1557,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,2.1257,
1999-01-12,2.1210,
1999-01-13,2.1744,
1999-01-14,2.1570,
1999-01-15,2.1582,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,2.1671,
1999-01-19,2.1614,
1999-01-20,2.1499,
1999-01-21,2.1489,
1999-01-22,2.1519,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,2.1659,
1999-01-26,2.1669,
1999-01-27,2.1594,
1999-01-28,2.1365,
1999-01-29,2.1107,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,2.0861,
1999-02-02,2.0760,
1999-02-03,2.0566,
1999-02-04,2.0461,
1999-02-05,2.0431,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,2.0149,
1999-02-09,2.0411,
1999-02-10,2.0549,
1999-02-11,2.0481,
1999-02-12,2.0550,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,2.0531,
1999-02-16,2.0854,
1999-02-17,2.0920,
1999-02-18,2.0842,
1999-02-19,2.0562,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,2.0397,
1999-02-23,2.0390,
1999-02-24,2.0768,
1999-02-25,2.0902,
1999-02-26,2.1071,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,2.0936,
1999-03-02,2.0600,
1999-03-03,2.0567,
1999-03-04,2.0670,
1999-03-05,2.0498,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,2.0413,
1999-03-09,2.0354,
1999-03-10,2.0461,
1999-03-11,2.0368,
1999-03-12,2.0522,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,2.0483,
1999-03-16,2.0613,
1999-03-17,2.0842,
1999-03-18,2.0721,
1999-03-19,2.0521,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,2.0381,
1999-03-23,2.0221,
1999-03-24,2.0301,
1999-03-25,2.0329,
1999-03-26,2.0138,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,2.0073,
1999-03-30,2.0107,
1999-03-31,2.0243,
1999-04-01,2.0108,
1999-04-02,2.0204,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,2.0148,
1999-04-06,2.0263,
1999-04-07,2.0341,
1999-04-08,2.0382,
1999-04-09,2.0212,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,2.0041,
1999-04-13,1.9875,
1999-04-14,1.9836,
1999-04-15,1.9963,
1999-04-16,1.9638,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,1.9338,
1999-04-20,1.9332,
1999-04-21,1.9358,
1999-04-22,1.9392,
1999-04-23,1.9305,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,1.9358,
1999-04-27,1.9423,
1999-04-28,1.9368,
1999-04-29,1.9063,
1999-04-30,1.8962,
1999-05-01,.,No value available
