"",BBK01.OEAD32O,BBK01.OEAD32O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:52,
2002-01,0.380,
2002-04,0.478,
2002-07,0.468,
2002-10,0.469,
2003-01,0.455,
2003-04,0.367,
2003-07,0.327,
2003-10,0.295,
2004-01,0.285,
2004-04,0.271,
2004-07,0.263,
2004-10,0.238,
2005-01,0.200,
2005-04,0.193,
2005-07,0.197,
2005-10,0.208,
2006-01,0.204,
2006-04,0.193,
2006-07,0.209,
2006-10,0.197,
2007-01,0.185,
2007-04,0.180,
2007-07,0.181,
2007-10,0.185,
2008-01,0.194,
2008-04,0.193,
2008-07,0.182,
2008-10,0.213,
2009-01,0.226,
2009-04,0.221,
2009-07,0.219,
2009-10,0.215,
2010-01,0.207,
2010-04,0.226,
2010-07,0.238,
2010-10,0.235,
2011-01,0.245,
2011-04,0.245,
2011-07,0.246,
2011-10,0.265,
2012-01,0.260,
2012-04,0.286,
2012-07,0.256,
2012-10,0.246,
2013-01,0.236,
2013-04,0.236,
2013-07,0.231,
2013-10,0.269,
2014-01,0.299,
2014-04,0.311,
2014-07,0.299,
