"",BBDA1.M.DE.N.IM.S.A.CN.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.CN.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / China / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:53,
1990-07,270445,
1990-08,444196,
1990-09,356986,
1990-10,449541,
1990-11,414635,
1990-12,303003,
1991-01,514436,
1991-02,509967,
1991-03,449346,
1991-04,447005,
1991-05,437474,
1991-06,410992,
1991-07,489106,
1991-08,599971,
1991-09,576485,
1991-10,595577,
1991-11,477163,
1991-12,402251,
1992-01,611689,
1992-02,557264,
1992-03,493771,
1992-04,396460,
1992-05,436648,
1992-06,454205,
1992-07,491886,
1992-08,494926,
1992-09,520592,
1992-10,529156,
1992-11,440454,
1992-12,530102,
1993-01,570170,
1993-02,614115,
1993-03,505696,
1993-04,544017,
1993-05,458731,
1993-06,532368,
1993-07,610165,
1993-08,659671,
1993-09,637702,
1993-10,669074,
1993-11,627471,
1993-12,630996,
1994-01,731799,
1994-02,767115,
1994-03,736966,
1994-04,481749,
1994-05,573887,
1994-06,568001,
1994-07,623767,
1994-08,725349,
1994-09,677119,
1994-10,644188,
1994-11,622557,
1994-12,721366,
1995-01,658854,
1995-02,668507,
1995-03,639409,
1995-04,512579,
1995-05,621984,
1995-06,652959,
1995-07,672427,
1995-08,731994,
1995-09,766121,
1995-10,794096,
1995-11,760711,
1995-12,695490,
1996-01,778349,
1996-02,808613,
1996-03,733346,
1996-04,611680,
1996-05,678154,
1996-06,718264,
1996-07,815341,
1996-08,793402,
1996-09,863846,
1996-10,869984,
1996-11,828230,
1996-12,710056,
1997-01,965088,
1997-02,862371,
1997-03,775316,
1997-04,814268,
1997-05,775840,
1997-06,872344,
1997-07,949145,
1997-08,914707,
1997-09,1081835,
1997-10,1079372,
1997-11,1028924,
1997-12,891082,
1998-01,1102225,
1998-02,966714,
1998-03,903479,
1998-04,888158,
1998-05,814773,
1998-06,947742,
1998-07,1044290,
1998-08,960080,
1998-09,1091305,
1998-10,1101978,
1998-11,1014010,
1998-12,1017266,
1999-01,983914,
1999-02,1000833,
1999-03,1076185,
1999-04,903542,
1999-05,971612,
1999-06,1066105,
1999-07,1154750,
1999-08,1192705,
1999-09,1324920,
1999-10,1357833,
1999-11,1411710,
1999-12,1350437,
2000-01,1398008,
2000-02,1363497,
2000-03,1360515,
2000-04,1164126,
2000-05,1610348,
2000-06,1438360,
2000-07,1409868,
2000-08,1653597,
2000-09,1706967,
2000-10,1999161,
2000-11,1827040,
2000-12,1621644,
2001-01,1744499,
2001-02,1617675,
2001-03,1459774,
2001-04,1435896,
2001-05,1535756,
2001-06,1450022,
2001-07,1620429,
2001-08,1757991,
2001-09,1694440,
2001-10,1973244,
2001-11,2113298,
2001-12,1538636,
2002-01,1733578,
2002-02,1667699,
2002-03,1582079,
2002-04,1724390,
2002-05,1505880,
2002-06,1542977,
2002-07,1644775,
2002-08,1836281,
2002-09,1814463,
2002-10,2195438,
2002-11,2168688,
2002-12,1922248,
2003-01,2375057,
2003-02,1878127,
2003-03,1858772,
2003-04,2024188,
2003-05,1934452,
2003-06,1919240,
2003-07,1948709,
2003-08,1912046,
2003-09,2226470,
2003-10,2654310,
2003-11,2462432,
2003-12,2487591,
2004-01,2305629,
2004-02,2238436,
2004-03,2205335,
2004-04,2444301,
2004-05,2404382,
2004-06,2501130,
2004-07,2637252,
2004-08,2795989,
2004-09,3056635,
2004-10,3599713,
2004-11,3640238,
2004-12,2962317,
2005-01,3029841,
2005-02,2819992,
2005-03,2914920,
2005-04,2900444,
2005-05,3104392,
2005-06,3289992,
2005-07,3436532,
2005-08,3472930,
2005-09,3778315,
2005-10,3805042,
2005-11,4045125,
2005-12,4247596,
2006-01,4258878,
2006-02,3876730,
2006-03,4025045,
2006-04,3688185,
2006-05,3733742,
2006-06,3771868,
2006-07,3879437,
2006-08,3879598,
2006-09,4268343,
2006-10,4705919,
2006-11,5204867,
2006-12,4665095,
2007-01,4860459,
2007-02,4817392,
2007-03,4479487,
2007-04,4157975,
2007-05,3687532,
2007-06,4130844,
2007-07,4636490,
2007-08,5096011,
2007-09,4924774,
2007-10,5480569,
2007-11,5154735,
2007-12,4990806,
2008-01,5299819,
2008-02,4690156,
2008-03,4117396,
2008-04,4366594,
2008-05,4337811,
2008-06,4486691,
2008-07,5327289,
2008-08,5275910,
2008-09,5656561,
2008-10,6105113,
2008-11,5981909,
2008-12,5179898,
2009-01,5224719,
2009-02,4709383,
2009-03,4129442,
2009-04,4212808,
2009-05,3829073,
2009-06,4191964,
2009-07,4788333,
2009-08,4523854,
2009-09,5429038,
2009-10,5366235,
2009-11,5258718,
2009-12,5042646,
2010-01,5045428,
2010-02,4966667,
2010-03,6743712,
2010-04,5220655,
2010-05,5981914,
2010-06,6884895,
2010-07,6315847,
2010-08,7209579,
2010-09,7639507,
2010-10,7195491,
