"",BBK01.OEBL03L,BBK01.OEBL03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:14,
2002-01,4.264,
2002-04,3.911,
2002-07,3.867,
2002-10,4.086,
2003-01,3.887,
2003-04,3.692,
2003-07,3.698,
2003-10,3.587,
2004-01,3.446,
2004-04,3.461,
2004-07,3.333,
2004-10,3.953,
2005-01,3.660,
2005-04,3.615,
2005-07,3.782,
2005-10,3.907,
2006-01,5.066,
2006-04,5.396,
2006-07,9.584,
2006-10,10.914,
2007-01,13.189,
2007-04,14.844,
2007-07,17.618,
2007-10,20.262,
2008-01,22.673,
2008-04,25.944,
2008-07,28.056,
2008-10,27.412,
2009-01,24.795,
2009-04,26.508,
2009-07,23.835,
2009-10,20.649,
2010-01,21.572,
2010-04,21.076,
2010-07,21.471,
2010-10,22.294,
2011-01,21.408,
2011-04,22.073,
2011-07,23.289,
2011-10,24.506,
2012-01,26.969,
2012-04,29.681,
2012-07,31.267,
2012-10,30.699,
2013-01,30.606,
2013-04,29.934,
2013-07,27.670,
2013-10,26.917,
2014-01,27.766,
2014-04,28.847,
2014-07,29.246,
