"",BBK01.OECI01S,BBK01.OECI01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:24,
2002-01,2.138,
2002-04,2.150,
2002-07,2.100,
2002-10,2.096,
2003-01,1.865,
2003-04,1.783,
2003-07,1.818,
2003-10,1.807,
2004-01,1.639,
2004-04,1.646,
2004-07,1.640,
2004-10,1.742,
2005-01,3.268,
2005-04,3.099,
2005-07,3.118,
2005-10,3.234,
2006-01,3.138,
2006-04,3.133,
2006-07,3.108,
2006-10,3.347,
2007-01,3.395,
2007-04,3.289,
2007-07,3.310,
2007-10,3.539,
2008-01,3.459,
2008-04,3.513,
2008-07,3.748,
2008-10,3.945,
2009-01,3.903,
2009-04,4.017,
2009-07,3.823,
2009-10,3.967,
2010-01,3.865,
2010-04,3.886,
2010-07,3.911,
2010-10,4.052,
2011-01,3.915,
2011-04,3.860,
2011-07,3.907,
2011-10,4.172,
2012-01,4.333,
2012-04,4.234,
2012-07,4.281,
2012-10,4.407,
2013-01,4.302,
2013-04,4.329,
2013-07,4.268,
2013-10,4.482,
2014-01,4.399,
2014-04,4.374,
2014-07,4.479,
