"",BBDE1.M.DE.W.AEN1.A2P320000.F.V.I10.A,BBDE1.M.DE.W.AEN1.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Capital goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:58,
2010-01,84.9,
2010-02,88.1,
2010-03,106.0,
2010-04,98.4,
2010-05,98.2,
2010-06,104.1,
2010-07,101.0,
2010-08,94.8,
2010-09,103.1,
2010-10,106.1,
2010-11,110.1,
2010-12,98.3,
2011-01,105.3,
2011-02,112.1,
2011-03,119.7,
2011-04,109.4,
2011-05,107.4,
2011-06,110.6,
2011-07,113.1,
2011-08,101.5,
2011-09,109.1,
2011-10,109.4,
2011-11,112.0,
2011-12,99.9,
2012-01,104.9,
2012-02,107.5,
2012-03,118.4,
2012-04,108.3,
2012-05,106.8,
2012-06,109.0,
2012-07,108.7,
2012-08,95.8,
2012-09,103.4,
2012-10,104.7,
2012-11,106.8,
2012-12,97.0,
2013-01,101.2,
2013-02,102.8,
2013-03,118.6,
2013-04,105.6,
2013-05,101.0,
2013-06,111.0,
2013-07,110.7,
2013-08,103.7,
2013-09,109.6,
2013-10,109.2,
2013-11,117.1,
2013-12,100.6,
2014-01,108.0,
2014-02,111.5,
2014-03,123.8,
2014-04,114.6,
2014-05,108.4,
2014-06,110.8,
2014-07,114.0,
2014-08,100.9,
2014-09,108.8,
2014-10,116.6,
2014-11,114.4,
2014-12,105.7,Provisional value
