"",BBK01.OEAH24L,BBK01.OEAH24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:12,
2002-01,8.035,
2002-04,8.075,
2002-07,8.051,
2002-10,8.066,
2003-01,7.969,
2003-04,7.776,
2003-07,7.580,
2003-10,7.688,
2004-01,7.878,
2004-04,8.230,
2004-07,8.198,
2004-10,8.096,
2005-01,7.857,
2005-04,7.671,
2005-07,7.472,
2005-10,7.303,
2006-01,7.156,
2006-04,7.025,
2006-07,7.030,
2006-10,6.866,
2007-01,6.589,
2007-04,6.320,
2007-07,6.153,
2007-10,5.950,
2008-01,5.573,
2008-04,5.392,
2008-07,5.504,
2008-10,5.398,
2009-01,4.613,
2009-04,4.632,
2009-07,4.921,
2009-10,5.424,
2010-01,5.742,
2010-04,5.928,
2010-07,5.978,
2010-10,6.039,
2011-01,6.139,
2011-04,6.468,
2011-07,6.571,
2011-10,6.603,
2012-01,6.588,
2012-04,6.567,
2012-07,6.524,
2012-10,6.661,
2013-01,6.419,
2013-04,6.100,
2013-07,5.976,
2013-10,6.030,
2014-01,6.004,
2014-04,6.020,
2014-07,6.178,
