"",BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:52,
1991-01,-89.821,
1991-04,-3.121,
1991-07,-62.354,
1991-10,-29.480,
1992-01,-235.967,
1992-04,-95.581,
1992-07,-244.045,
1992-10,-129.350,
1993-01,-323.298,
1993-04,-267.313,
1993-07,-38.549,
1993-10,-388.470,
1994-01,870.318,
1994-04,212.555,
1994-07,260.915,
1994-10,-432.626,
1995-01,389.747,
1995-04,500.598,
1995-07,137.931,
1995-10,216.247,
1996-01,159.399,
1996-04,253.848,
1996-07,-322.831,
1996-10,429.128,
1997-01,1018.910,
1997-04,282.477,
1997-07,309.868,
1997-10,543.393,
1998-01,-155.490,
1998-04,2862.070,
1998-07,218.748,
1998-10,-1273.466,
1999-01,722.371,
1999-04,1178.130,
1999-07,869.238,
1999-10,340.987,
2000-01,2085.310,
2000-04,688.450,
2000-07,1708.201,
2000-10,3193.638,
2001-01,1675.324,
2001-04,1986.855,
2001-07,169.679,
2001-10,-149.750,
2002-01,48.743,
2002-04,3429.968,
2002-07,217.259,
2002-10,-78.117,
2003-01,1440.348,
2003-04,1194.157,
2003-07,-4383.387,
2003-10,-1680.747,
2004-01,1621.408,
2004-04,646.854,
2004-07,2760.013,
2004-10,729.894,
2005-01,1307.400,
2005-04,1923.161,
2005-07,2852.520,
2005-10,1525.253,
2006-01,4121.865,
2006-04,2438.399,
2006-07,1578.130,
2006-10,1728.248,
2007-01,2135.347,
2007-04,-645.232,
2007-07,55.224,
2007-10,1895.541,
2008-01,-1737.788,
2008-04,-429.961,
2008-07,1366.964,
2008-10,-5093.009,
2009-01,-3707.739,
2009-04,430.595,
2009-07,-1592.630,
2009-10,-863.814,
2010-01,-2274.958,
2010-04,2029.159,
2010-07,-97.010,
2010-10,2460.176,
2011-01,-254.751,
2011-04,-1305.778,
2011-07,-778.653,
2011-10,30.694,
2012-01,-1558.045,
2012-04,1306.659,
2012-07,363.227,
2012-10,902.903,
2013-01,1075.396,
2013-04,814.402,
2013-07,838.187,
2013-10,594.074,
2014-01,1190.980,
2014-04,-97.748,
2014-07,295.457,
2014-10,1423.108,
