"",BBFN1.M.DE.N.1.A.IR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:10,
1982-09,0.082,
1982-10,0.080,
1982-11,0.077,
1982-12,0.081,
1983-01,0.074,
1983-02,0.071,
1983-03,0.070,
1983-04,0.064,
1983-05,0.064,
1983-06,0.064,
1983-07,0.069,
1983-08,0.067,
1983-09,0.067,
1983-10,0.057,
1983-11,0.057,
1983-12,0.052,
1984-01,0.060,
1984-02,0.060,
1984-03,0.060,
1984-04,0.058,
1984-05,0.057,
1984-06,0.054,
1984-07,0.055,
1984-08,0.055,
1984-09,0.055,
1984-10,0.073,
1984-11,0.073,
1984-12,0.071,
1985-01,0.072,
1985-02,0.076,
1985-03,0.084,
1985-04,0.096,
1985-05,0.078,
1985-06,0.062,
1985-07,0.060,
1985-08,0.056,
1985-09,0.054,
1985-10,0.052,
1985-11,0.053,
1985-12,0.054,
1986-01,0.054,
1986-02,0.058,
1986-03,0.059,
1986-04,0.061,
1986-05,0.061,
1986-06,0.055,
1986-07,0.051,
1986-08,0.047,
1986-09,0.046,
1986-10,0.044,
1986-11,0.048,
1986-12,0.050,
1987-01,0.049,
1987-02,0.049,
1987-03,0.052,
1987-04,0.056,
1987-05,0.062,
1987-06,0.066,
1987-07,0.072,
1987-08,0.075,
1987-09,0.077,
1987-10,0.077,
1987-11,0.076,
1987-12,0.073,
1988-01,0.078,
1988-02,0.083,
1988-03,0.083,
1988-04,0.058,
1988-05,0.059,
1988-06,0.057,
1988-07,0.058,
1988-08,0.057,
1988-09,0.057,
1988-10,0.051,
1988-11,0.048,
1988-12,0.048,
1989-01,0.049,
1989-02,0.050,
1989-03,0.049,
1989-04,0.048,
1989-05,0.048,
1989-06,0.048,
1989-07,0.050,
1989-08,0.049,
1989-09,0.038,
1989-10,0.054,
1989-11,0.053,
1989-12,0.049,
1990-01,0.049,
1990-02,0.046,
1990-03,0.045,
1990-04,0.042,
1990-05,0.051,
1990-06,0.043,
1990-07,0.044,
1990-08,0.041,
1990-09,0.040,
1990-10,0.039,
1990-11,0.035,
1990-12,0.049,
1991-01,0.050,
1991-02,0.051,
1991-03,0.050,
1991-04,0.061,
1991-05,0.033,
1991-06,0.034,
1991-07,0.037,
1991-08,0.037,
1991-09,0.042,
1991-10,0.041,
1991-11,0.040,
1991-12,0.046,
1992-01,0.069,
1992-02,0.062,
1992-03,0.065,
1992-04,0.085,
1992-05,0.076,
1992-06,0.067,
1992-07,0.066,
1992-08,0.066,
1992-09,0.066,
1992-10,0.061,
1992-11,0.060,
1992-12,0.062,
1993-01,0.054,
1993-02,0.051,
1993-03,0.060,
1993-04,0.060,
1993-05,0.054,
1993-06,0.055,
1993-07,0.054,
1993-08,0.062,
1993-09,0.060,
1993-10,0.047,
1993-11,0.047,
1993-12,0.046,
1994-01,0.041,
1994-02,0.049,
1994-03,0.037,
1994-04,0.036,
1994-05,0.037,
1994-06,0.041,
1994-07,0.041,
1994-08,0.031,
1994-09,0.030,
1994-10,0.022,
1994-11,0.027,
1994-12,0.034,
1995-01,0.050,
1995-02,0.047,
1995-03,0.048,
1995-04,0.046,
1995-05,0.046,
1995-06,0.048,
1995-07,0.047,
1995-08,0.045,
1995-09,0.044,
1995-10,0.043,
1995-11,0.039,
1995-12,0.131,
1996-01,0.143,
1996-02,0.133,
1996-03,0.129,
1996-04,0.131,
1996-05,0.134,
1996-06,0.134,
1996-07,0.132,
1996-08,0.132,
1996-09,0.133,
1996-10,0.125,
1996-11,0.123,
1996-12,0.121,
1997-01,0.120,
1997-02,0.117,
1997-03,0.111,
1997-04,0.110,
1997-05,0.109,
1997-06,0.122,
