"",BBK01.OEHM03O,BBK01.OEHM03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:40,
2002-01,0.323,
2002-04,0.334,
2002-07,0.307,
2002-10,0.306,
2003-01,0.270,
2003-04,0.265,
2003-07,0.259,
2003-10,0.271,
2004-01,0.228,
2004-04,0.264,
2004-07,0.264,
2004-10,0.286,
2005-01,0.269,
2005-04,0.279,
2005-07,0.288,
2005-10,0.245,
2006-01,0.244,
2006-04,0.267,
2006-07,0.300,
2006-10,0.292,
2007-01,0.263,
2007-04,0.300,
2007-07,0.351,
2007-10,0.402,
2008-01,0.352,
2008-04,0.406,
2008-07,0.386,
2008-10,0.454,
2009-01,0.397,
2009-04,0.352,
2009-07,0.283,
2009-10,0.326,
2010-01,0.216,
2010-04,0.237,
2010-07,0.263,
2010-10,0.340,
2011-01,0.289,
2011-04,0.381,
2011-07,0.382,
2011-10,0.482,
2012-01,0.380,
2012-04,0.411,
2012-07,0.334,
2012-10,0.422,
2013-01,0.303,
2013-04,0.335,
2013-07,0.310,
2013-10,0.392,
2014-01,0.218,
2014-04,0.238,
2014-07,0.248,
