"",BBK01.OEAH34Q,BBK01.OEAH34Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:09,
2002-01,0.015,
2002-04,0.008,
2002-07,0.014,
2002-10,0.016,
2003-01,0.011,
2003-04,0.007,
2003-07,0.015,
2003-10,0.010,
2004-01,0.015,
2004-04,0.014,
2004-07,0.015,
2004-10,0.072,
2005-01,0.064,
2005-04,0.068,
2005-07,0.116,
2005-10,0.225,
2006-01,0.312,
2006-04,0.270,
2006-07,0.234,
2006-10,0.225,
2007-01,0.239,
2007-04,0.237,
2007-07,0.194,
2007-10,0.137,
2008-01,0.077,
2008-04,0.151,
2008-07,0.364,
2008-10,0.358,
2009-01,0.403,
2009-04,0.369,
2009-07,0.485,
2009-10,0.489,
2010-01,0.467,
2010-04,0.387,
2010-07,0.278,
2010-10,0.195,
2011-01,0.516,
2011-04,0.721,
2011-07,0.796,
2011-10,0.798,
2012-01,0.512,
2012-04,0.436,
2012-07,0.382,
2012-10,0.343,
2013-01,0.428,
2013-04,0.627,
2013-07,0.726,
2013-10,0.805,
2014-01,0.678,
2014-04,0.468,
2014-07,0.575,
