"",BBDA1.M.DE.N.IM.S.A.NL.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.NL.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Netherlands / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:14,
1990-07,2356073,
1990-08,2226580,
1990-09,2388387,
1990-10,2756203,
1990-11,2943550,
1990-12,2497383,
1991-01,2846062,
1991-02,2553552,
1991-03,2769390,
1991-04,2634612,
1991-05,2935582,
1991-06,2629424,
1991-07,2663784,
1991-08,2319646,
1991-09,2398128,
1991-10,2841110,
1991-11,2711728,
1991-12,2736176,
1992-01,2615851,
1992-02,2560092,
1992-03,2848961,
1992-04,3027579,
1992-05,2513125,
1992-06,2267161,
1992-07,2796971,
1992-08,2092161,
1992-09,2484471,
1992-10,2786318,
1992-11,2574283,
1992-12,2706750,
1993-01,1938880,
1993-02,2130238,
1993-03,2131258,
1993-04,2123522,
1993-05,2203627,
1993-06,1937199,
1993-07,2053839,
1993-08,2076362,
1993-09,2169320,
1993-10,2075820,
1993-11,2325833,
1993-12,2375596,
1994-01,1961533,
1994-02,2085506,
1994-03,2374359,
1994-04,2149733,
1994-05,2316917,
1994-06,2190119,
1994-07,2144964,
1994-08,2042784,
1994-09,2152624,
1994-10,2401639,
1994-11,2147775,
1994-12,2441365,
1995-01,2363204,
1995-02,2205312,
1995-03,2724320,
1995-04,2519762,
1995-05,2551432,
1995-06,2607885,
1995-07,2377120,
1995-08,2221223,
1995-09,2475272,
1995-10,2577302,
1995-11,2426869,
1995-12,2694989,
1996-01,2658646,
1996-02,2295160,
1996-03,2709786,
1996-04,2568871,
1996-05,2584908,
1996-06,2556654,
1996-07,2601780,
1996-08,2345782,
1996-09,2462262,
1996-10,2793249,
1996-11,2594926,
1996-12,3066236,
1997-01,2634830,
1997-02,2783556,
1997-03,2899533,
1997-04,2516678,
1997-05,3022472,
1997-06,2905440,
1997-07,3092624,
1997-08,2857235,
1997-09,2680023,
1997-10,3175998,
1997-11,3064385,
1997-12,2898206,
1998-01,3361666,
1998-02,3016014,
1998-03,2751931,
1998-04,3444551,
1998-05,2599656,
1998-06,3047576,
1998-07,3024950,
1998-08,2542635,
1998-09,2718322,
1998-10,3101171,
1998-11,2910963,
1998-12,2976845,
1999-01,2778112,
1999-02,2803564,
1999-03,3032544,
1999-04,2981340,
1999-05,3020390,
1999-06,3209914,
1999-07,2729372,
1999-08,2946020,
1999-09,2783242,
1999-10,3315337,
1999-11,3534176,
1999-12,2954808,
2000-01,3425306,
2000-02,3390943,
2000-03,3699103,
2000-04,3467941,
2000-05,3886203,
2000-06,3500623,
2000-07,3503615,
2000-08,3438997,
2000-09,3817048,
2000-10,4195628,
2000-11,4413419,
2000-12,4000061,
2001-01,3753211,
2001-02,3672688,
2001-03,3827253,
2001-04,3766599,
2001-05,3644424,
2001-06,3594214,
2001-07,3603469,
2001-08,3284104,
2001-09,3385007,
2001-10,3723905,
2001-11,3572820,
2001-12,3405595,
2002-01,3297914,
2002-02,3375568,
2002-03,3063823,
2002-04,3452601,
2002-05,3094189,
2002-06,3506314,
2002-07,3236474,
2002-08,3273473,
2002-09,3623808,
2002-10,3319367,
2002-11,3651906,
2002-12,3855699,
2003-01,3426221,
2003-02,3586924,
2003-03,3640934,
2003-04,3521672,
2003-05,3561897,
2003-06,3307717,
2003-07,3252645,
2003-08,3168403,
2003-09,3311595,
2003-10,3826381,
2003-11,3932768,
2003-12,3764326,
2004-01,3418989,
2004-02,3650656,
2004-03,3843876,
2004-04,3578204,
2004-05,3670134,
2004-06,3753518,
2004-07,3704919,
2004-08,3659271,
2004-09,4076966,
2004-10,4025890,
2004-11,4676486,
2004-12,4144652,
2005-01,3972797,
2005-02,3783468,
2005-03,4691214,
2005-04,3714252,
2005-05,4342973,
2005-06,4206988,
2005-07,4071672,
2005-08,4363843,
2005-09,4393043,
2005-10,4515307,
2005-11,4781365,
2005-12,4985807,
2006-01,4469269,
2006-02,5058859,
2006-03,5292395,
2006-04,4860356,
2006-05,4870021,
2006-06,4937948,
2006-07,4823469,
2006-08,4902441,
2006-09,5415246,
2006-10,5432362,
2006-11,5595754,
2006-12,5091417,
2007-01,4661990,
2007-02,4905725,
2007-03,5009945,
2007-04,5001569,
2007-05,5014583,
2007-06,5145739,
2007-07,4978271,
2007-08,5232447,
2007-09,5077356,
2007-10,5615879,
2007-11,5792417,
2007-12,5515048,
2008-01,5501560,
2008-02,5644413,
2008-03,5705427,
2008-04,5511576,
2008-05,5582910,
2008-06,5384738,
2008-07,5762710,
2008-08,5689262,
2008-09,6160796,
2008-10,6660299,
2008-11,5388642,
2008-12,4978243,
2009-01,4991092,
2009-02,4830208,
2009-03,4917770,
2009-04,4446214,
2009-05,4002366,
2009-06,4275740,
2009-07,4484729,
2009-08,4424357,
2009-09,4699291,
2009-10,4894036,
2009-11,4624276,
2009-12,4993374,
2010-01,4725220,
2010-02,4886075,
2010-03,6142629,
2010-04,5287737,
2010-05,5512696,
2010-06,5958919,
2010-07,5237532,
2010-08,5523152,
2010-09,5763862,
2010-10,5951424,
2010-11,6006852,
2010-12,6209013,
2011-01,6180924,
2011-02,6478025,
2011-03,7355787,
2011-04,6989435,
2011-05,7079893,
